"n_tau","PE"
6945.33734854971,0.634640974397856
7945.33734854971,0.510762952303979
8945.33734854971,0.446855188346976
9945.33734854971,0.394584326735294
10945.3373485497,0.351058598734765
11945.3373485497,0.310574128047361
12945.3373485497,0.277538771503668
13945.3373485497,0.248597485088832
14945.3373485497,0.223843774967865
15945.3373485497,0.199829551956531
16945.3373485497,0.179980795300986
17945.3373485497,0.160932446375131
18945.3373485497,0.14574791816955
19945.3373485497,0.131250439989455
20945.3373485497,0.117490362309015
21945.3373485497,0.107042650041117
22945.3373485497,0.0971134064317644
23945.3373485497,0.0877177868558122
24945.3373485497,0.0788672353793465
25945.3373485497,0.0705693733574918
26945.3373485497,0.0628279165828764
27945.3373485497,0.0573869635623773
28945.3373485497,0.0522572879459302
29945.3373485497,0.0474360757519602
30945.3373485497,0.04291926883763
31945.3373485497,0.0387016438777175
32945.3373485497,0.034776798053331
33945.3373485497,0.0311373136959936
34945.3373485497,0.0288653935062409
35945.3373485497,0.0256822808420237
36945.3373485497,0.0227600240593689
37945.3373485497,0.0209515225422803
38945.3373485497,0.0192508809261737
39945.3373485497,0.0168945915419087
40945.3373485497,0.0154482957730186
41945.3373485497,0.0140973768620197
42945.3373485497,0.0128380895510455
43945.3373485497,0.011666640579948
44945.3373485497,0.0105792101968161
45945.3373485497,0.00957195255505059
46945.3373485497,0.00864101902492693
47945.3373485497,0.00778257735807681
48945.3373485497,0.0069928149246226
49945.3373485497,0.0062679586771139
50945.3373485497,0.00592870613627402
51945.3373485497,0.00529425861026826
52945.3373485497,0.0047155413089434
53945.3373485497,0.0044459744130282
54945.3373485497,0.00394425269687631
55945.3373485497,0.00348959489547038
56945.3373485497,0.00327888345458478
57945.3373485497,0.00288868971382897
58945.3373485497,0.00270842817395586
59945.3373485497,0.00237568631450892
60945.3373485497,0.00222247353520096
61945.3373485497,0.00207755759591213
62945.3373485497,0.00181124407563645
63945.3373485497,0.00168918034857817
64945.3373485497,0.00146564010843616
65945.3373485497,0.00136354909006848
66945.3373485497,0.00126751635941045
67945.3373485497,0.00109249479077692
68945.3373485497,0.00101296168682094
69945.3373485497,0.000938399239120567
70945.3373485497,0.000868557509539923
71945.3373485497,0.000742078058880825
72945.3373485497,0.00068498297621102
73945.3373485497,0.000631693609990763
74945.3373485497,0.000582002011424731
75945.3373485497,0.000535708433565034
76945.3373485497,0.000492621497006153
77945.3373485497,0.000452557290679604
78945.3373485497,0.00038080136384811
79945.3373485497,0.000348780243267103
80945.3373485497,0.000319123169621185
81945.3373485497,0.000291683759144318
82945.3373485497,0.000266322197808024
83945.3373485497,0.000242905795990943
84945.3373485497,0.000221308343737578
85945.3373485497,0.000201409907583871
86945.3373485497,0.00018309675169743
87945.3373485497,0.00016626123909575
88945.3373485497,0.000150801372418931
89945.3373485497,0.000136620878115518
90945.3373485497,0.000123628775651277
91945.3373485497,0.000111739286161601
92945.3373485497,0.000111739286161601
93945.3373485497,0.000100871692456671
94945.3373485497,9.09499991511038e-05
95945.3373485497,8.19028167745441e-05
96945.3373485497,7.36631948797629e-05
97945.3373485497,6.61683996111822e-05
98945.3373485497,5.93596351390995e-05
99945.3373485497,5.31820252092627e-05
100945.33734855,5.31820252092627e-05
101945.33734855,4.75843336140111e-05
102945.33734855,4.25187357245013e-05
103945.33734855,3.79407717911926e-05
104945.33734855,3.38090610648883e-05
105945.33734855,3.00852109581486e-05
106945.33734855,3.00852109581486e-05
107945.33734855,2.67336022095564e-05
108945.33734855,2.3721256617297e-05
109945.33734855,2.10177011449734e-05
110945.33734855,2.10177011449734e-05
111945.33734855,1.85947694909684e-05
112945.33734855,1.64265203598548e-05
113945.33734855,1.44890699353507e-05
114945.33734855,1.44890699353507e-05
115945.33734855,1.27604465484302e-05
116945.33734855,1.12205046639353e-05
117945.33734855,1.12205046639353e-05
118945.33734855,9.85076993553431e-06
119945.33734855,8.63434741379046e-06
120945.33734855,7.55579675727863e-06
121945.33734855,7.55579675727863e-06
122945.33734855,6.60103578768755e-06
123945.33734855,5.75724627651924e-06
124945.33734855,5.75724627651924e-06
125945.33734855,5.01276625341799e-06
126945.33734855,4.35701914897188e-06
127945.33734855,4.35701914897188e-06
128945.33734855,3.78041731836224e-06
129945.33734855,3.2742886322118e-06
130945.33734855,3.2742886322118e-06
