"n_tau","PE"
3405.12485772152,0.876399643916251
4405.12485772152,0.750632349686583
5405.12485772152,0.6750998532418
6405.12485772152,0.614619815624548
7405.12485772152,0.56159860989459
8405.12485772152,0.509619303852304
9405.12485772152,0.4658639868703
10405.1248577215,0.426365661975641
11405.1248577215,0.391901837092517
12405.1248577215,0.357164905505357
13405.1248577215,0.328230871082036
14405.1248577215,0.29951580820373
15405.1248577215,0.276839530354311
16405.1248577215,0.254544150355282
17405.1248577215,0.232740604641282
18405.1248577215,0.211539393287381
19405.1248577215,0.196099381168532
20405.1248577215,0.176211622035536
21405.1248577215,0.161874731941296
22405.1248577215,0.152614680201851
23405.1248577215,0.13919858635811
24405.1248577215,0.126381241276882
25405.1248577215,0.118183950626095
26405.1248577215,0.106429016632672
27405.1248577215,0.0989627109056652
28405.1248577215,0.0917990799072459
29405.1248577215,0.0816302925676504
30405.1248577215,0.0752398252905473
31405.1248577215,0.0691622752282343
32405.1248577215,0.0633980012697232
33405.1248577215,0.0579461948579284
34405.1248577215,0.0553368839014424
35405.1248577215,0.0503497149815133
36405.1248577215,0.0456679173238396
37405.1248577215,0.0412866729075705
38405.1248577215,0.0392069558234951
39405.1248577215,0.035265163722109
40405.1248577215,0.0334012169794865
41405.1248577215,0.0298821694610483
42405.1248577215,0.0282248577148808
43405.1248577215,0.0251087558951541
44405.1248577215,0.0236474588244256
45405.1248577215,0.0209117732093872
46405.1248577215,0.0196346247340221
47405.1248577215,0.0184160358145813
48405.1248577215,0.0161486690787985
49405.1248577215,0.0150968772434465
50405.1248577215,0.0140976352075187
51405.1248577215,0.013149386266491
52405.1248577215,0.0122505591792816
53405.1248577215,0.0105948355173754
54405.1248577215,0.00983475222054461
55405.1248577215,0.00911772676476658
56405.1248577215,0.00844216994765933
57405.1248577215,0.0078064923746881
58405.1248577215,0.00720911538041257
59405.1248577215,0.00664847215430627
60405.1248577215,0.00612301073719384
61405.1248577215,0.00563119691119242
62405.1248577215,0.00517151697258083
63405.1248577215,0.00474248037763534
64405.1248577215,0.00434262225215972
65405.1248577215,0.00397050494963908
66405.1248577215,0.00362472354791837
67405.1248577215,0.00330390288443635
68405.1248577215,0.00300670285126698
69405.1248577215,0.00273181975730863
70405.1248577215,0.00273181975730863
71405.1248577215,0.00247798576581246
72405.1248577215,0.00224397350047341
73405.1248577215,0.00202859501248232
74405.1248577215,0.00183070335692474
75405.1248577215,0.00164919341876446
76405.1248577215,0.00164919341876446
77405.1248577215,0.00148300225873591
78405.1248577215,0.00133111081543349
79405.1248577215,0.00119254231355244
80405.1248577215,0.00119254231355244
81405.1248577215,0.00106636368014033
82405.1248577215,0.000951685178714228
83405.1248577215,0.00084766021479905
84405.1248577215,0.00084766021479905
85405.1248577215,0.00075348499067951
86405.1248577215,0.00066839801587324
87405.1248577215,0.00066839801587324
88405.1248577215,0.000591679482030821
89405.1248577215,0.000522650511522303
90405.1248577215,0.000522650511522303
91405.1248577215,0.000460672195019179
92405.1248577215,0.000405144999465293
93405.1248577215,0.000405144999465293
94405.1248577215,0.000355507173745776
95405.1248577215,0.000311233698707823
96405.1248577215,0.000311233698707823
97405.1248577215,0.000271835404550086
98405.1248577215,0.000271835404550086
99405.1248577215,0.000236857351678983
100405.124857722,0.000205877555678691
101405.124857722,0.000205877555678691
102405.124857722,0.000178505585675468
103405.124857722,0.000178505585675468
104405.124857722,0.000154381128701052
105405.124857722,0.000133172530165177
106405.124857722,0.000133172530165177
107405.124857722,0.000114575296906258
108405.124857722,0.000114575296906258
109405.124857722,9.8310714797237e-05
110405.124857722,9.8310714797237e-05
111405.124857722,8.41242253827736e-05
112405.124857722,8.41242253827736e-05
113405.124857722,7.17840665767264e-05
114405.124857722,7.17840665767264e-05
115405.124857722,6.1079804090355e-05
116405.124857722,6.1079804090355e-05
117405.124857722,5.18209166947024e-05
118405.124857722,5.18209166947024e-05
119405.124857722,4.38354151321986e-05
120405.124857722,4.38354151321986e-05
121405.124857722,3.69685004564049e-05
122405.124857722,3.69685004564049e-05
123405.124857722,3.1081266807274e-05
124405.124857722,3.1081266807274e-05
125405.124857722,2.60494530459358e-05
126405.124857722,2.60494530459358e-05
127405.124857722,2.17622467932177e-05
128405.124857722,2.17622467932177e-05
129405.124857722,1.8121144032951e-05
130405.124857722,1.8121144032951e-05
131405.124857722,1.50388663391746e-05
132405.124857722,1.50388663391746e-05
133405.124857722,1.50388663391746e-05
134405.124857722,1.24383372522075e-05
135405.124857722,1.24383372522075e-05
136405.124857722,1.02517192248513e-05
137405.124857722,1.02517192248513e-05
138405.124857722,8.41951114421692e-06
139405.124857722,8.41951114421692e-06
140405.124857722,8.41951114421692e-06
141405.124857722,6.88970651893072e-06
142405.124857722,6.88970651893072e-06
143405.124857722,5.61701157798329e-06
144405.124857722,5.61701157798329e-06
145405.124857722,5.61701157798329e-06
146405.124857722,4.56212223908879e-06
147405.124857722,4.56212223908879e-06
148405.124857722,3.69105844278633e-06
149405.124857722,3.69105844278633e-06
150405.124857722,3.69105844278633e-06
151405.124857722,2.97455340099498e-06
152405.124857722,2.97455340099498e-06
153405.124857722,2.97455340099498e-06
154405.124857722,2.38749935035725e-06
155405.124857722,2.38749935035725e-06
156405.124857722,1.90843777300263e-06
157405.124857722,1.90843777300263e-06
158405.124857722,1.90843777300263e-06
159405.124857722,1.51910476887282e-06
160405.124857722,1.51910476887282e-06
161405.124857722,1.51910476887282e-06
162405.124857722,1.20401853416929e-06
163405.124857722,1.20401853416929e-06
164405.124857722,1.20401853416929e-06
165405.124857722,9.50110366073884e-07
166405.124857722,9.50110366073884e-07
167405.124857722,7.46395547471002e-07
168405.124857722,7.46395547471002e-07
169405.124857722,7.46395547471002e-07
170405.124857722,5.83681183494793e-07
171405.124857722,5.83681183494793e-07
172405.124857722,5.83681183494793e-07
173405.124857722,4.54308168901382e-07
174405.124857722,4.54308168901382e-07
175405.124857722,4.54308168901382e-07
176405.124857722,4.54308168901382e-07
177405.124857722,3.51923852523802e-07
178405.124857722,3.51923852523802e-07
179405.124857722,3.51923852523802e-07
180405.124857722,2.71284038757194e-07
181405.124857722,2.71284038757194e-07
182405.124857722,2.71284038757194e-07
183405.124857722,2.08079920706978e-07
184405.124857722,2.08079920706978e-07
185405.124857722,2.08079920706978e-07
186405.124857722,1.58788103342683e-07
187405.124857722,1.58788103342683e-07
188405.124857722,1.58788103342683e-07
189405.124857722,1.20541843336122e-07
190405.124857722,1.20541843336122e-07
191405.124857722,1.20541843336122e-07
192405.124857722,1.20541843336122e-07
193405.124857722,9.10203760548385e-08
194405.124857722,9.10203760548385e-08
195405.124857722,9.10203760548385e-08
196405.124857722,6.83546056916263e-08
197405.124857722,6.83546056916263e-08
198405.124857722,6.83546056916263e-08
199405.124857722,6.83546056916263e-08
200405.124857722,5.10471217481225e-08
201405.124857722,5.10471217481225e-08
202405.124857722,5.10471217481225e-08
203405.124857722,3.79047378601333e-08
204405.124857722,3.79047378601333e-08
205405.124857722,3.79047378601333e-08
206405.124857722,3.79047378601333e-08
207405.124857722,2.79819103892653e-08
208405.124857722,2.79819103892653e-08
209405.124857722,2.79819103892653e-08
210405.124857722,2.79819103892653e-08
211405.124857722,2.05335522464271e-08
212405.124857722,2.05335522464271e-08
213405.124857722,2.05335522464271e-08
214405.124857722,2.05335522464271e-08
215405.124857722,1.49759066447122e-08
216405.124857722,1.49759066447122e-08
217405.124857722,1.49759066447122e-08
218405.124857722,1.08543161929861e-08
219405.124857722,1.08543161929861e-08
220405.124857722,1.08543161929861e-08
221405.124857722,1.08543161929861e-08
222405.124857722,7.81678218779198e-09
223405.124857722,7.81678218779198e-09
224405.124857722,7.81678218779198e-09
225405.124857722,7.81678218779198e-09
226405.124857722,5.59247253256431e-09
227405.124857722,5.59247253256431e-09
228405.124857722,5.59247253256431e-09
229405.124857722,5.59247253256431e-09
