"n_tau","PE"
2053.34563259814,0.93559974747609
3053.34563259814,0.819252190016678
4053.34563259814,0.742422346440235
5053.34563259814,0.678281545896376
6053.34563259814,0.620876302103594
7053.34563259814,0.570046141878571
8053.34563259814,0.52230820102074
9053.34563259814,0.479313313244815
10053.3456325981,0.434814931779571
11053.3456325981,0.404560048285286
12053.3456325981,0.366388772046237
13053.3456325981,0.335814830390576
14053.3456325981,0.313006941970718
15053.3456325981,0.282948457831094
16053.3456325981,0.260802327106856
17053.3456325981,0.239114211774165
18053.3456325981,0.217989936725996
19053.3456325981,0.204271984517101
20053.3456325981,0.184317737962285
21053.3456325981,0.171472302566951
22053.3456325981,0.159024852800065
23053.3456325981,0.147001102833944
24053.3456325981,0.135424869530496
25053.3456325981,0.124317776611095
26053.3456325981,0.113699099051981
27053.3456325981,0.103585385406418
28053.3456325981,0.0939902588289036
29053.3456325981,0.0893906077809099
30053.3456325981,0.080592241289872
31053.3456325981,0.0723328290341826
32053.3456325981,0.0684060925224896
33053.3456325981,0.0609583526200714
34053.3456325981,0.0574366227020041
35053.3456325981,0.0540488091308661
36053.3456325981,0.0476711190439755
37053.3456325981,0.0446788131694389
38053.3456325981,0.0418155643099926
39053.3456325981,0.039079671433146
40053.3456325981,0.0339821023367911
41053.3456325981,0.031616060434057
42053.3456325981,0.0293686503395781
43053.3456325981,0.0272372733774899
44053.3456325981,0.0252191866573816
45053.3456325981,0.0233114929480037
46053.3456325981,0.0215111833573152
47053.3456325981,0.0198151233381409
48053.3456325981,0.0182200867510051
49053.3456325981,0.0167227431715369
50053.3456325981,0.0153196876655222
51053.3456325981,0.0140074494647319
52053.3456325981,0.0127825051207187
53053.3456325981,0.0116412917341878
54053.3456325981,0.0105802201764052
55053.3456325981,0.00959568821761422
56053.3456325981,0.00959568821761422
57053.3456325981,0.00868409347783361
58053.3456325981,0.00784184450771549
59053.3456325981,0.0070653796965298
60053.3456325981,0.00635116915126928
61053.3456325981,0.00635116915126928
62053.3456325981,0.00569573295355297
63053.3456325981,0.00509565026759136
64053.3456325981,0.00454756955469482
65053.3456325981,0.00454756955469482
66053.3456325981,0.00404821808945584
67053.3456325981,0.00359441072356285
68053.3456325981,0.00318305785048151
69053.3456325981,0.00318305785048151
70053.3456325981,0.00281117253208962
71053.3456325981,0.00247587674662938
72053.3456325981,0.00247587674662938
73053.3456325981,0.00217440678385417
74053.3456325981,0.00217440678385417
75053.3456325981,0.00190411768803163
76053.3456325981,0.00166248681064031
77053.3456325981,0.00166248681064031
78053.3456325981,0.00144711646877773
79053.3456325981,0.00144711646877773
80053.3456325981,0.00125573570861277
81053.3456325981,0.00108620120187679
82053.3456325981,0.00108620120187679
83053.3456325981,0.000936497305851136
84053.3456325981,0.000936497305851136
85053.3456325981,0.000804735324958162
86053.3456325981,0.000804735324958162
87053.3456325981,0.000689152019078984
88053.3456325981,0.000689152019078984
89053.3456325981,0.00058810728936921
90053.3456325981,0.00058810728936921
91053.3456325981,0.000500081829750233
92053.3456325981,0.000500081829750233
93053.3456325981,0.000423672970602673
94053.3456325981,0.000423672970602673
95053.3456325981,0.000357591199551162
96053.3456325981,0.000357591199551162
97053.3456325981,0.000300655697845348
98053.3456325981,0.000300655697845348
99053.3456325981,0.000251789536676836
100053.345632598,0.000251789536676836
101053.345632598,0.000210014597266644
102053.345632598,0.000210014597266644
103053.345632598,0.000174446242818083
104053.345632598,0.000174446242818083
105053.345632598,0.000144287815757922
106053.345632598,0.000144287815757922
107053.345632598,0.000144287815757922
108053.345632598,0.000118825025885142
109053.345632598,0.000118825025885142
110053.345632598,9.74202719251381e-05
111053.345632598,9.74202719251381e-05
112053.345632598,9.74202719251381e-05
113053.345632598,7.95070783207597e-05
114053.345632598,7.95070783207597e-05
115053.345632598,6.45843844549995e-05
116053.345632598,6.45843844549995e-05
117053.345632598,6.45843844549995e-05
118053.345632598,5.22111702889162e-05
119053.345632598,5.22111702889162e-05
120053.345632598,4.2001134226654e-05
121053.345632598,4.2001134226654e-05
122053.345632598,4.2001134226654e-05
123053.345632598,3.3617547473018e-05
124053.345632598,3.3617547473018e-05
125053.345632598,3.3617547473018e-05
126053.345632598,2.67684281027978e-05
127053.345632598,2.67684281027978e-05
128053.345632598,2.12018737170261e-05
129053.345632598,2.12018737170261e-05
130053.345632598,2.12018737170261e-05
131053.345632598,1.67017184464355e-05
132053.345632598,1.67017184464355e-05
133053.345632598,1.67017184464355e-05
134053.345632598,1.30834679118082e-05
135053.345632598,1.30834679118082e-05
136053.345632598,1.30834679118082e-05
137053.345632598,1.01905294708505e-05
138053.345632598,1.01905294708505e-05
139053.345632598,1.01905294708505e-05
140053.345632598,7.89075453277997e-06
141053.345632598,7.89075453277997e-06
142053.345632598,7.89075453277997e-06
143053.345632598,6.07325848835736e-06
144053.345632598,6.07325848835736e-06
145053.345632598,6.07325848835736e-06
146053.345632598,6.07325848835736e-06
147053.345632598,4.64555982394528e-06
148053.345632598,4.64555982394528e-06
149053.345632598,4.64555982394528e-06
150053.345632598,3.53099357671566e-06
151053.345632598,3.53099357671566e-06
152053.345632598,3.53099357671566e-06
153053.345632598,2.66640262867234e-06
154053.345632598,2.66640262867234e-06
155053.345632598,2.66640262867234e-06
156053.345632598,2.66640262867234e-06
157053.345632598,2.00009011368759e-06
158053.345632598,2.00009011368759e-06
159053.345632598,2.00009011368759e-06
160053.345632598,1.49001691359215e-06
161053.345632598,1.49001691359215e-06
162053.345632598,1.49001691359215e-06
163053.345632598,1.49001691359215e-06
164053.345632598,1.10222682988589e-06
165053.345632598,1.10222682988589e-06
166053.345632598,1.10222682988589e-06
167053.345632598,1.10222682988589e-06
168053.345632598,8.09481132893174e-07
169053.345632598,8.09481132893174e-07
170053.345632598,8.09481132893174e-07
171053.345632598,8.09481132893174e-07
172053.345632598,5.9008364938228e-07
173053.345632598,5.9008364938228e-07
174053.345632598,5.9008364938228e-07
175053.345632598,4.26878422635202e-07
176053.345632598,4.26878422635202e-07
177053.345632598,4.26878422635202e-07
178053.345632598,4.26878422635202e-07
179053.345632598,3.06399594315171e-07
180053.345632598,3.06399594315171e-07
181053.345632598,3.06399594315171e-07
182053.345632598,3.06399594315171e-07
183053.345632598,3.06399594315171e-07
184053.345632598,2.18158566282174e-07
185053.345632598,2.18158566282174e-07
186053.345632598,2.18158566282174e-07
187053.345632598,2.18158566282174e-07
188053.345632598,1.54049448395319e-07
189053.345632598,1.54049448395319e-07
190053.345632598,1.54049448395319e-07
191053.345632598,1.54049448395319e-07
192053.345632598,1.07857992190972e-07
193053.345632598,1.07857992190972e-07
194053.345632598,1.07857992190972e-07
195053.345632598,1.07857992190972e-07
196053.345632598,7.48593469436354e-08
197053.345632598,7.48593469436354e-08
198053.345632598,7.48593469436354e-08
199053.345632598,7.48593469436354e-08
200053.345632598,7.48593469436354e-08
201053.345632598,5.14914388608194e-08
202053.345632598,5.14914388608194e-08
203053.345632598,5.14914388608194e-08
204053.345632598,5.14914388608194e-08
205053.345632598,5.14914388608194e-08
206053.345632598,3.50921187631491e-08
207053.345632598,3.50921187631491e-08
208053.345632598,3.50921187631491e-08
209053.345632598,3.50921187631491e-08
210053.345632598,2.36895062060431e-08
211053.345632598,2.36895062060431e-08
212053.345632598,2.36895062060431e-08
213053.345632598,2.36895062060431e-08
214053.345632598,2.36895062060431e-08
215053.345632598,1.58364141763919e-08
216053.345632598,1.58364141763919e-08
217053.345632598,1.58364141763919e-08
218053.345632598,1.58364141763919e-08
219053.345632598,1.58364141763919e-08
220053.345632598,1.04807127405138e-08
221053.345632598,1.04807127405138e-08
222053.345632598,1.04807127405138e-08
223053.345632598,1.04807127405138e-08
224053.345632598,1.04807127405138e-08
225053.345632598,6.86486676441684e-09
226053.345632598,6.86486676441684e-09
227053.345632598,6.86486676441684e-09
228053.345632598,6.86486676441684e-09
229053.345632598,6.86486676441684e-09
230053.345632598,4.44887928391416e-09
231053.345632598,4.44887928391416e-09
232053.345632598,4.44887928391416e-09
233053.345632598,4.44887928391416e-09
234053.345632598,4.44887928391416e-09
235053.345632598,4.44887928391416e-09
236053.345632598,2.85175115220537e-09
237053.345632598,2.85175115220537e-09
238053.345632598,2.85175115220537e-09
239053.345632598,2.85175115220537e-09
240053.345632598,2.85175115220537e-09
241053.345632598,1.80748877686576e-09
242053.345632598,1.80748877686576e-09
243053.345632598,1.80748877686576e-09
244053.345632598,1.80748877686576e-09
245053.345632598,1.80748877686576e-09
246053.345632598,1.80748877686576e-09
247053.345632598,1.13239523508041e-09
248053.345632598,1.13239523508041e-09
249053.345632598,1.13239523508041e-09
250053.345632598,1.13239523508041e-09
251053.345632598,1.13239523508041e-09
252053.345632598,1.13239523508041e-09
253053.345632598,7.01017917738751e-10
254053.345632598,7.01017917738751e-10
255053.345632598,7.01017917738751e-10
256053.345632598,7.01017917738751e-10
257053.345632598,7.01017917738751e-10
258053.345632598,7.01017917738751e-10
259053.345632598,4.28660638902406e-10
260053.345632598,4.28660638902406e-10
261053.345632598,4.28660638902406e-10
262053.345632598,4.28660638902406e-10
263053.345632598,4.28660638902406e-10
264053.345632598,4.28660638902406e-10
265053.345632598,2.58815636525823e-10
