"n_tau","PE"
8965.4876522531,0.649429020627401
9965.4876522531,0.523595558472004
10965.4876522531,0.46227514831559
11965.4876522531,0.411261837342539
12965.4876522531,0.369859998701589
13965.4876522531,0.335572301572195
14965.4876522531,0.305097850877802
15965.4876522531,0.274913002924156
16965.4876522531,0.248964310099233
17965.4876522531,0.227222573392859
18965.4876522531,0.206072121295385
19965.4876522531,0.18898519217577
20965.4876522531,0.172459366738578
21965.4876522531,0.156557914636629
22965.4876522531,0.144326173900664
23965.4876522531,0.132559493338495
24965.4876522531,0.121283040903205
25965.4876522531,0.110518997501506
26965.4876522531,0.10028630195645
27965.4876522531,0.0906005902487597
28965.4876522531,0.0837025739563636
29965.4876522531,0.0771225811212886
30965.4876522531,0.0708630304199534
31965.4876522531,0.0649250027650158
32965.4876522531,0.0593083023672196
33965.4876522531,0.0540114990499943
34965.4876522531,0.0490318200814699
35965.4876522531,0.0458863027024948
36965.4876522531,0.0414257148981741
37965.4876522531,0.038621213784195
38965.4876522531,0.034663127835866
39965.4876522531,0.0321868023194683
40965.4876522531,0.0287094687675187
41965.4876522531,0.0265452586707915
42965.4876522531,0.0245007512259143
43965.4876522531,0.0225727478608755
44965.4876522531,0.0207579155366431
45965.4876522531,0.0190527968527789
46965.4876522531,0.0174538040527683
47965.4876522531,0.0159572517966358
48965.4876522531,0.0145593710647272
49965.4876522531,0.0132563101512236
50965.4876522531,0.0120441799966753
51965.4876522531,0.0114709836349502
52965.4876522531,0.0103878553858507
53965.4876522531,0.0093857734786474
54965.4876522531,0.00891388505041256
55965.4876522531,0.00802593857476579
56965.4876522531,0.00720915920563071
57965.4876522531,0.00682623433808026
58965.4876522531,0.00610890052114501
59965.4876522531,0.00577353648780461
60965.4876522531,0.00514705888242885
61965.4876522531,0.00485501776141163
62965.4876522531,0.00431105187837483
63965.4876522531,0.00405823451431296
64965.4876522531,0.00358874495791135
65965.4876522531,0.00337121818462701
66965.4876522531,0.00316461314542189
67965.4876522531,0.0027825419210971
68965.4876522531,0.00260628220932918
69965.4876522531,0.00243935708328432
70965.4876522531,0.00228139131383566
71965.4876522531,0.00199087395629593
72965.4876522531,0.00185761294041257
73965.4876522531,0.00173189247477207
74965.4876522531,0.00161337933014092
75965.4876522531,0.00139669127829524
76965.4876522531,0.00129789667094362
77965.4876522531,0.00120507017083305
78965.4876522531,0.00111792525445164
79965.4876522531,0.0010361837555603
80965.4876522531,0.000959576863086053
81965.4876522531,0.000887844818191336
82965.4876522531,0.000820736857659674
83965.4876522531,0.000758011143550459
84965.4876522531,0.000699434820462244
85965.4876522531,0.000593841255251598
86965.4876522531,0.000546401347868211
87965.4876522531,0.000502265144189056
88965.4876522531,0.00046124206500909
89965.4876522531,0.000423149748028582
90965.4876522531,0.000387813770167108
91965.4876522531,0.000387813770167108
92965.4876522531,0.000355067481067002
93965.4876522531,0.000324751829256151
94965.4876522531,0.000296715181668192
95965.4876522531,0.000270813137217959
96965.4876522531,0.000246908335127229
97965.4876522531,0.000224870258022646
98965.4876522531,0.000204575033731524
99965.4876522531,0.000185905230388667
100965.487652253,0.000168749650645568
101965.487652253,0.00015300312415669
102965.487652253,0.00015300312415669
103965.487652253,0.000138566298529346
104965.487652253,0.000125345429603089
105965.487652253,0.000113252171645102
106965.487652253,0.000102203368025361
107965.487652253,9.21208429111204e-05
108965.487652253,9.21208429111204e-05
109965.487652253,8.29311776591794e-05
110965.487652253,7.45655749359012e-05
111965.487652253,6.69595641491861e-05
112965.487652253,6.00528190513041e-05
113965.487652253,6.00528190513041e-05
114965.487652253,5.37890284061168e-05
115965.487652253,4.81156450927444e-05
116965.487652253,4.29837128409967e-05
117965.487652253,4.29837128409967e-05
118965.487652253,3.83476822035831e-05
119965.487652253,3.4165231134375e-05
120965.487652253,3.03970904198236e-05
121965.487652253,3.03970904198236e-05
122965.487652253,2.70068686974938e-05
123965.487652253,2.39609107087987e-05
124965.487652253,2.39609107087987e-05
125965.487652253,2.1228103828568e-05
126965.487652253,1.87797485096443e-05
127965.487652253,1.87797485096443e-05
128965.487652253,1.65894078715992e-05
129965.487652253,1.46327519997434e-05
130965.487652253,1.46327519997434e-05
131965.487652253,1.28874431107545e-05
132965.487652253,1.13329904554131e-05
133965.487652253,1.13329904554131e-05
134965.487652253,9.95062952929379e-06
135965.487652253,8.72320323039987e-06
136965.487652253,8.72320323039987e-06
137965.487652253,7.63504718107108e-06
138965.487652253,6.67188863054082e-06
139965.487652253,6.67188863054082e-06
140965.487652253,5.82073468345032e-06
141965.487652253,5.82073468345032e-06
142965.487652253,5.06978263932873e-06
143965.487652253,4.40832715307534e-06
144965.487652253,4.40832715307534e-06
145965.487652253,3.8266743733989e-06
146965.487652253,3.8266743733989e-06
147965.487652253,3.31606116771839e-06
148965.487652253,2.868579856852e-06
149965.487652253,2.868579856852e-06
150965.487652253,2.47710477379384e-06
151965.487652253,2.47710477379384e-06
152965.487652253,2.13522951201917e-06
153965.487652253,2.13522951201917e-06
154965.487652253,1.8372019658974e-06
155965.487652253,1.8372019658974e-06
156965.487652253,1.57786877877145e-06
157965.487652253,1.35261925941886e-06
158965.487652253,1.35261925941886e-06
159965.487652253,1.15733723816268e-06
160965.487652253,1.15733723816268e-06
161965.487652253,9.88354536935782e-07
162965.487652253,9.88354536935782e-07
163965.487652253,8.42408388283373e-07
164965.487652253,8.42408388283373e-07
165965.487652253,7.16602183838858e-07
166965.487652253,7.16602183838858e-07
167965.487652253,6.08369369105652e-07
168965.487652253,6.08369369105652e-07
169965.487652253,5.15440303091709e-07
170965.487652253,5.15440303091709e-07
171965.487652253,4.35811992177356e-07
172965.487652253,4.35811992177356e-07
173965.487652253,3.67719910175834e-07
174965.487652253,3.67719910175834e-07
175965.487652253,3.09613580413547e-07
176965.487652253,3.09613580413547e-07
177965.487652253,2.60132676577314e-07
178965.487652253,2.60132676577314e-07
179965.487652253,2.18086563690599e-07
180965.487652253,2.18086563690599e-07
181965.487652253,1.82435279763388e-07
182965.487652253,1.82435279763388e-07
183965.487652253,1.52272425963385e-07
