"n_tau","PE"
42786.4033099856,0.523548995899219
52786.4033099856,0.541203266863599
62786.4033099856,0.492950443868678
72786.4033099856,0.437001522988016
82786.4033099856,0.382766860228698
92786.4033099856,0.330391441766491
102786.403309986,0.281731659836487
112786.403309986,0.239384170669087
122786.403309986,0.202300785286142
132786.403309986,0.166453004276966
142786.403309986,0.139306220254538
152786.403309986,0.114028527744332
162786.403309986,0.0928562750583666
172786.403309986,0.0738671932338025
182786.403309986,0.0600872315989972
192786.403309986,0.0479519925100137
202786.403309986,0.0374742561847097
212786.403309986,0.0295266920965148
222786.403309986,0.0228111806110076
232786.403309986,0.0178855457200173
242786.403309986,0.0137790504023899
252786.403309986,0.0104165651117505
262786.403309986,0.00806457669767037
272786.403309986,0.00614513852639671
282786.403309986,0.00460391292731502
292786.403309986,0.0033875809667304
302786.403309986,0.00258527945874258
312786.403309986,0.00183466997432951
322786.403309986,0.00135612301546861
332786.403309986,0.000986682410054045
342786.403309986,0.000706020801033372
352786.403309986,0.000533399458629817
362786.403309986,0.00036953007301555
372786.403309986,0.000271704499039164
382786.403309986,0.000197209606466226
392786.403309986,0.000141220207539483
402786.403309986,9.97113688003298e-05
412786.403309986,6.93747466745705e-05
422786.403309986,4.75318341663452e-05
432786.403309986,3.20478056295538e-05
442786.403309986,2.35857346445575e-05
452786.403309986,1.54352501011436e-05
462786.403309986,1.10987907758204e-05
472786.403309986,7.033379179773e-06
482786.403309986,4.9321463516274e-06
492786.403309986,3.41962924861043e-06
502786.403309986,2.34330329111814e-06
512786.403309986,1.58640344954711e-06
522786.403309986,1.0606148792582e-06
532786.403309986,6.99967709659223e-07
542786.403309986,4.5581134914179e-07
552786.403309986,2.92740708699731e-07
562786.403309986,1.85339955748079e-07
572786.403309986,1.15619969555918e-07
582786.403309986,8.37015975484447e-08
592786.403309986,5.08869789133815e-08
602786.403309986,3.0441082906266e-08
612786.403309986,2.14130422820973e-08
622786.403309986,1.24536781546918e-08
632786.403309986,8.59268508798584e-09
642786.403309986,5.88127967732788e-09
652786.403309986,3.2792306610794e-09
662786.403309986,2.19808131349005e-09
672786.403309986,1.46063594504294e-09
682786.403309986,7.7808214664628e-10
692786.403309986,5.05486406640176e-10
702786.403309986,3.25319585258525e-10
712786.403309986,2.07364453488675e-10
722786.403309986,1.30883871816241e-10
732786.403309986,8.17839271292005e-11
742786.403309986,5.05800755642593e-11
752786.403309986,3.09540877919895e-11
762786.403309986,1.87403811250426e-11
772786.403309986,1.12215518092381e-11
782786.403309986,6.64402641550443e-12
792786.403309986,3.88866588200572e-12
802786.403309986,2.24928763875683e-12
812786.403309986,1.28542239763605e-12
822786.403309986,7.25573911491144e-13
832786.403309986,5.42561468122196e-13
