"n_tau","PE"
7946.73765607778,0.473277857627811
8946.73765607778,0.497001458295486
9946.73765607778,0.478479129434347
10946.7376560778,0.454157060038652
11946.7376560778,0.428652135779102
12946.7376560778,0.404636554351997
13946.7376560778,0.379922575406854
14946.7376560778,0.355524481243074
15946.7376560778,0.332316720900629
16946.7376560778,0.311005501948049
17946.7376560778,0.28893175943319
18946.7376560778,0.269551720833617
19946.7376560778,0.2498895935146
20946.7376560778,0.233395687215483
21946.7376560778,0.216899996735064
22946.7376560778,0.20049637207177
23946.7376560778,0.184282850641958
24946.7376560778,0.171515167649094
25946.7376560778,0.158981736515005
26946.7376560778,0.146733222118769
27946.7376560778,0.137762546316075
28946.7376560778,0.126127474157925
29946.7376560778,0.117669697788743
30946.7376560778,0.109461673158902
31946.7376560778,0.0989352499624713
32946.7376560778,0.0913729944065192
33946.7376560778,0.0841106617153003
34946.7376560778,0.0794418207004414
35946.7376560778,0.0727051496103975
36946.7376560778,0.0662962511730296
37946.7376560778,0.0622089985764667
38946.7376560778,0.0563605760896297
39946.7376560778,0.05265139084617
40946.7376560778,0.04909474747834
41946.7376560778,0.0440459717524709
42946.7376560778,0.0408705258812323
43946.7376560778,0.0378464231425795
44946.7376560778,0.0349724124586928
45946.7376560778,0.0322468505431261
46946.7376560778,0.0296676573904696
47946.7376560778,0.0272325515447621
48946.7376560778,0.0249387261679945
49946.7376560778,0.0227830959093817
50946.7376560778,0.0207622581877192
51946.7376560778,0.0188724799740751
52946.7376560778,0.0179755392326276
53946.7376560778,0.016274917625806
54946.7376560778,0.0146950103002854
55946.7376560778,0.0139489140833464
56946.7376560778,0.0125415154431954
57946.7376560778,0.0112431657219562
58946.7376560778,0.0106333494856848
59946.7376560778,0.00948930594033113
60946.7376560778,0.00895381132749125
61946.7376560778,0.00795268010978281
62946.7376560778,0.00748575774856417
63946.7376560778,0.00704040522571629
64946.7376560778,0.00621182244768734
65946.7376560778,0.0058273200627238
66946.7376560778,0.00511469038051139
67946.7376560778,0.00478529872556674
68946.7376560778,0.00447302139372906
69946.7376560778,0.00417724005065095
70946.7376560778,0.00363272734412812
71946.7376560778,0.0033827968072253
