"n_tau","PE"
2.08052610330644e-20,1
1000,1.92175587588357
2000,3.84001248396339
3000,7.656094155963
4000,15.1876703560217
5000,30.4843556165501
6000,56.4722968211476
7000,116.938117936956
8000,219.774236836087
9000,449.084214097027
10000,875.300673991582
11000,1835.11807390488
12000,3515.49963506717
13000,7124.11904870421
14000,12591.4776656921
15000,23083.2769861623
16000,55045.4494266237
17000,87397.5470470159
18000,181431.634357654
19000,394709.345534183
20000,681187.984998722
21000,1613188.71116942
22000,2954911.4793323
23000,5552956.94533096
24000,10717529.1705931
25000,21268812.1472998
26000,43449042.0991392
27000,91482182.3429644
28000,134309398.264148
29000,296610267.596612
30000,677349461.728562
31000,1036981764.21942
32000,2496741449.81137
33000,3928082944.62572
34000,10005219747.8014
35000,16204618918.2129
36000,26511176306.6607
37000,73199919682.6051
38000,123591745159.222
39000,210970889580.12
40000,364173866491.681
41000,1123173633602.16
42000,2007738248012.7
43000,3632763872808.22
44000,6654979732633.18
45000,12346627775617.9
46000,23203570339395.2
47000,44185860751304.1
48000,85281099117839.9
49000,166872430263420
50000,331133096097810
51000,666550713217948
52000,1361461686308296
53000,2822610356997395
54000,5941609187159394
55000,12702894733132138
56000,12702894733132138
57000,27592137111106856
58000,60910966762193248
59000,136703266795116064
60000,312021313995927680
61000,724541663886144256
62000,724541663886144256
63000,1712265371783243008
64000,4119698482737090560
65000,10095032235858417664
66000,10095032235858417664
67000,25203594157056524288
68000,6.4135481671481e+19
69000,6.4135481671481e+19
70000,1.66412267411022e+20
71000,4.40452363810886e+20
72000,4.40452363810886e+20
73000,1.18964559354436e+21
74000,3.28037397315255e+21
75000,3.28037397315255e+21
76000,9.23851094704994e+21
77000,2.65853879704697e+22
78000,2.65853879704697e+22
79000,7.82059557248419e+22
80000,2.35282583327037e+23
81000,2.35282583327037e+23
82000,7.24259489027965e+23
83000,7.24259489027965e+23
84000,2.28222882855834e+24
85000,2.28222882855834e+24
86000,7.36534284667762e+24
87000,2.43562291912217e+25
88000,2.43562291912217e+25
89000,8.25712018391098e+25
90000,8.25712018391098e+25
91000,2.87125132536659e+26
92000,2.87125132536659e+26
93000,1.02462498335176e+27
94000,1.02462498335176e+27
95000,3.75440804306742e+27
96000,3.75440804306742e+27
97000,1.41330906952336e+28
98000,1.41330906952336e+28
99000,5.46881304624847e+28
1e+05,5.46881304624847e+28
101000,2.17648279066302e+29
102000,2.17648279066302e+29
103000,8.91405377509234e+29
104000,8.91405377509234e+29
105000,3.75930626952418e+30
106000,3.75930626952418e+30
107000,3.75930626952418e+30
108000,1.63348224024192e+31
109000,1.63348224024192e+31
110000,7.3174832500692e+31
111000,7.3174832500692e+31
112000,3.38159331704613e+32
113000,3.38159331704613e+32
114000,3.38159331704613e+32
115000,1.61313416403031e+33
116000,1.61313416403031e+33
117000,7.94862078245841e+33
118000,7.94862078245841e+33
119000,4.048308510551e+34
120000,4.048308510551e+34
121000,4.048308510551e+34
122000,2.13260331852476e+35
123000,2.13260331852476e+35
124000,1.16278978412691e+36
125000,1.16278978412691e+36
126000,1.16278978412691e+36
127000,6.56679793454619e+36
128000,6.56679793454619e+36
129000,6.56679793454619e+36
130000,3.84395333637303e+37
131000,3.84395333637303e+37
132000,2.33396064836076e+38
133000,2.33396064836076e+38
134000,2.33396064836076e+38
135000,1.47104013883688e+39
136000,1.47104013883688e+39
137000,1.47104013883688e+39
138000,9.63168196752821e+39
139000,9.63168196752821e+39
140000,9.63168196752821e+39
141000,6.55637780457818e+40
142000,6.55637780457818e+40
143000,6.55637780457818e+40
144000,4.64359494194201e+41
145000,4.64359494194201e+41
146000,4.64359494194201e+41
147000,3.42471401642343e+42
148000,3.42471401642343e+42
149000,3.42471401642343e+42
