"n_tau","PE"
4208.9246456041,0.906353422589817
5208.9246456041,0.836211310383597
6208.9246456041,0.786772225336231
7208.9246456041,0.742044388949241
8208.9246456041,0.700317226849177
9208.9246456041,0.659360076845208
10208.9246456041,0.621201690795773
11208.9246456041,0.583795279353927
12208.9246456041,0.552103064437497
13208.9246456041,0.518962544776778
14208.9246456041,0.488899994541357
15208.9246456041,0.457984201503862
16208.9246456041,0.430928753071067
17208.9246456041,0.403485581944092
18208.9246456041,0.380417482299305
19208.9246456041,0.357260028402527
20208.9246456041,0.33410647718988
21208.9246456041,0.315652759223431
22208.9246456041,0.29275949279627
23208.9246456041,0.274651003114238
24208.9246456041,0.256787125141223
25208.9246456041,0.243584188178732
26208.9246456041,0.226286337455388
27208.9246456041,0.213573919099004
28208.9246456041,0.197017100987898
29208.9246456041,0.184924441430332
30208.9246456041,0.173135402007959
31208.9246456041,0.1616715166107
32208.9246456041,0.150553260669264
33208.9246456041,0.143342737158736
34208.9246456041,0.132842697375751
35208.9246456041,0.122736393761983
36208.9246456041,0.116225083965697
37208.9246456041,0.106807523054219
38208.9246456041,0.100767172577413
39208.9246456041,0.0949207835103317
40208.9246456041,0.0892709209523352
41208.9246456041,0.0811689964030655
42208.9246456041,0.0760185436286493
43208.9246456041,0.0710698873398709
44208.9246456041,0.0663234605729539
45208.9246456041,0.0617791939855317
46208.9246456041,0.0574365635862266
47208.9246456041,0.0532945161590349
48208.9246456041,0.0493515237837945
49208.9246456041,0.0474540639895345
50208.9246456041,0.0438057480961281
51208.9246456041,0.0403505669013972
52208.9246456041,0.0370853826501824
53208.9246456041,0.0355229279481151
54208.9246456041,0.0325358473722292
55208.9246456041,0.0297289852721547
56208.9246456041,0.0283917143018661
57208.9246456041,0.0258464464838174
58208.9246456041,0.0246371752385468
59208.9246456041,0.0223420055998742
60208.9246456041,0.021254713545726
61208.9246456041,0.0191971095385334
62208.9246456041,0.0182253045950492
63208.9246456041,0.0172904830461757
64208.9246456041,0.0155286682362055
65208.9246456041,0.0147000921449585
66208.9246456041,0.0139053298487599
67208.9246456041,0.0124139837434902
68208.9246456041,0.0117157538105482
69208.9246456041,0.0110480477685348
70208.9246456041,0.0104100331493758
71208.9246456041,0.00921973929539919
72208.9246456041,0.00866579330502006
73208.9246456041,0.00813820364418934
74208.9246456041,0.00763614088681213
75208.9246456041,0.00715877954440862
76208.9246456041,0.0062748864093395
77208.9246456041,0.00586673142717297
78208.9246456041,0.0054800361018005
79208.9246456041,0.00511400998778726
80208.9246456041,0.00476787155518019
81208.9246456041,0.00444085289781467
82208.9246456041,0.0041321947151769
83208.9246456041,0.00384115105430828
84208.9246456041,0.00356698904867624
85208.9246456041,0.00330898961541142
86208.9246456041,0.00306644811007514
87208.9246456041,0.00283867492647343
88208.9246456041,0.0026249960558945
89208.9246456041,0.00242475359326164
90208.9246456041,0.00223730575027638
91208.9246456041,0.00206202906912325
92208.9246456041,0.00189831602225862
93208.9246456041,0.00174557714720495
94208.9246456041,0.00160324131355761
95208.9246456041,0.00147075437635536
96208.9246456041,0.00147075437635536
97208.9246456041,0.00134758149218963
98208.9246456041,0.00123320583018035
99208.9246456041,0.00112712897895926
100208.924645604,0.00102887096082843
101208.924645604,0.000937970014417636
102208.924645604,0.000853983279163061
103208.924645604,0.000853983279163061
104208.924645604,0.000776485515446157
105208.924645604,0.000705069737674633
106208.924645604,0.000639346815465232
107208.924645604,0.000578945239978016
108208.924645604,0.000578945239978016
109208.924645604,0.000523510855469267
110208.924645604,0.000472706558215778
111208.924645604,0.000426211965042908
112208.924645604,0.000426211965042908
113208.924645604,0.00038372305374506
114208.924645604,0.00034495170942648
115208.924645604,0.000309625595943634
116208.924645604,0.000309625595943634
117208.924645604,0.000277487296149747
118208.924645604,0.000248294206665605
119208.924645604,0.000248294206665605
120208.924645604,0.000221817797438688
121208.924645604,0.000197843444494971
122208.924645604,0.000197843444494971
123208.924645604,0.000176169727804168
124208.924645604,0.000156607988527609
125208.924645604,0.000156607988527609
126208.924645604,0.000138981824680661
127208.924645604,0.000123126582454584
128208.924645604,0.000123126582454584
129208.924645604,0.000108888823741264
130208.924645604,9.61259039489238e-05
131208.924645604,9.61259039489238e-05
132208.924645604,8.47053260286797e-05
133208.924645604,7.45043290093451e-05
134208.924645604,7.45043290093451e-05
135208.924645604,6.54093639901882e-05
136208.924645604,6.54093639901882e-05
137208.924645604,5.73156014740501e-05
138208.924645604,5.01264473954377e-05
139208.924645604,5.01264473954377e-05
140208.924645604,4.3753069247189e-05
141208.924645604,4.3753069247189e-05
142208.924645604,3.81139335806612e-05
143208.924645604,3.81139335806612e-05
144208.924645604,3.31343560234634e-05
145208.924645604,2.87460591214482e-05
146208.924645604,2.87460591214482e-05
147208.924645604,2.48867738370688e-05
148208.924645604,2.48867738370688e-05
149208.924645604,2.14998004527775e-05
150208.924645604,2.14998004527775e-05
151208.924645604,1.85336250582506e-05
152208.924645604,1.85336250582506e-05
153208.924645604,1.59415655640765e-05
154208.924645604,1.36813945405084e-05
155208.924645604,1.36813945405084e-05
156208.924645604,1.17150030219775e-05
157208.924645604,1.17150030219775e-05
158208.924645604,1.00080762525146e-05
159208.924645604,1.00080762525146e-05
160208.924645604,8.52978662818074e-06
161208.924645604,8.52978662818074e-06
162208.924645604,7.25250366289588e-06
163208.924645604,7.25250366289588e-06
164208.924645604,6.15151962473829e-06
165208.924645604,6.15151962473829e-06
166208.924645604,5.20479810984195e-06
167208.924645604,5.20479810984195e-06
168208.924645604,5.20479810984195e-06
169208.924645604,4.39272601622613e-06
170208.924645604,4.39272601622613e-06
171208.924645604,3.69789481819115e-06
172208.924645604,3.69789481819115e-06
173208.924645604,3.10489046439362e-06
174208.924645604,3.10489046439362e-06
175208.924645604,2.60009971109965e-06
176208.924645604,2.60009971109965e-06
177208.924645604,2.17153092033104e-06
178208.924645604,2.17153092033104e-06
179208.924645604,1.80864873804863e-06
180208.924645604,1.80864873804863e-06
181208.924645604,1.80864873804863e-06
182208.924645604,1.50222203645792e-06
183208.924645604,1.50222203645792e-06
184208.924645604,1.24418448054937e-06
185208.924645604,1.24418448054937e-06
186208.924645604,1.02750685815724e-06
187208.924645604,1.02750685815724e-06
188208.924645604,1.02750685815724e-06
189208.924645604,8.46081931263033e-07
190208.924645604,8.46081931263033e-07
191208.924645604,6.9461686892662e-07
192208.924645604,6.9461686892662e-07
193208.924645604,6.9461686892662e-07
194208.924645604,5.68539697041534e-07
195208.924645604,5.68539697041534e-07
196208.924645604,4.63911997806044e-07
197208.924645604,4.63911997806044e-07
198208.924645604,4.63911997806044e-07
199208.924645604,3.77351469970799e-07
200208.924645604,3.77351469970799e-07
201208.924645604,3.05962288481196e-07
202208.924645604,3.05962288481196e-07
203208.924645604,3.05962288481196e-07
204208.924645604,2.47272847781696e-07
205208.924645604,2.47272847781696e-07
206208.924645604,1.99180292310122e-07
207208.924645604,1.99180292310122e-07
208208.924645604,1.99180292310122e-07
209208.924645604,1.59901260559217e-07
210208.924645604,1.59901260559217e-07
211208.924645604,1.59901260559217e-07
212208.924645604,1.27928271165944e-07
213208.924645604,1.27928271165944e-07
214208.924645604,1.01991389905459e-07
215208.924645604,1.01991389905459e-07
216208.924645604,1.01991389905459e-07
217208.924645604,8.10242819574431e-08
