"ntau","cost","pe"
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,0,0
1200,0,0
1300,0,0
1400,0,0
1500,0,0
1600,0,0
1700,0,0
1800,0,0
1900,0,0
2000,0,0
2100,0,0
2200,0,0
2300,0,0
2400,0,0
2500,0,0
2600,0,0
2700,0,0
2800,0,0
2900,0,0
3000,0,0
3100,0,0
3200,0,0
3300,0,0
3400,0,0
3500,0,0
3600,0,0
3700,0,0
3800,0,0
3900,0,0
4000,0,0
4100,0,0
4200,0,0
4300,0,0
4400,0,0
4500,0,0
4600,0,0
4700,0,0
4800,0,0
4900,0,0
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,0,0
5800,0,0
5900,0,0
6000,0,0
6100,0,0
6200,0,0
6300,0,0
6400,0,0
6500,0,0
6600,0,0
6700,0,0
6800,0,0
6900,0,0
7000,0,0.691679086407532
7100,0,0.673767574191891
7200,0,0.659366456681969
7300,0,0.646735303544156
7400,0,0.63622139785087
7500,0,0.625347357930267
7600,0,0.616957940612255
7700,0,0.608370338671044
7800,0,0.599586943247639
7900,0,0.590610465926701
8000,0,0.584520378938991
8100,0,0.575229084642424
8200,0,0.568932364511691
8300,0,0.562554878538939
8400,0,0.556098226706322
8500,0,0.549563412654908
8600,0,0.542951974791045
8700,0,0.536265422360788
8800,0,0.529505243172189
8900,0,0.526098160523713
9000,0,0.519231101416312
9100,0,0.512294796845391
9200,0,0.508801312126693
9300,0,0.501764917607583
9400,0,0.4982224209089
9500,0,0.491090559847815
9600,0,0.487501645199959
9700,0,0.48027926845936
9800,0,0.476646393172418
9900,0,0.472999556020977
10000,0,0.465664762365352
10100,0,0.461977445330817
10200,0,0.458277438395891
10300,0,0.450840418296774
10400,0,0.447104092253053
10500,0,0.443356357499793
10600,0,0.439597573407886
10700,0,0.435828105669178
10800,0,0.428258699372431
10900,0,0.424459350612484
11000,0,0.420650929614643
11100,0,0.416833747883174
11200,0,0.413008208749639
11300,0,0.409174721734606
11400,0,0.40533370251254
11500,0,0.401485572872325
11600,0,0.39763076067333
11700,0,0.393769699796935
11800,0,0.38990283009341
11900,0,0.386030519283218
12000,0,0.382153451722784
12100,0,0.378271851909833
12200,0,0.374386261157904
12300,0,0.370497148196075
12400,0,0.366604987301059
12500,0,0.36271025820911
12600,0,0.35881344602258
12700,0,0.35881344602258
12800,0,0.354915041111091
12900,0,0.351015539007212
13000,0,0.347115370107199
13100,0,0.343215180332634
13200,0,0.339315409823278
13300,0,0.335416641115882
13400,0,0.335416641115882
13500,0,0.331519257401153
13600,0,0.327623851591335
13700,0,0.323730951964684
13800,0,0.319841090922983
13900,0,0.319841090922983
14000,0,0.315954804835208
14100,0,0.312072633875188
14200,0,0.308195059521043
14300,0,0.308195059521043
14400,0,0.304322753810714
14500,0,0.300456204873494
14600,0,0.296595966358385
14700,0,0.296595966358385
14800,0,0.292742594816739
14900,0,0.288896649503532
15000,0,0.288896649503532
15100,0,0.285058749161458
15200,0,0.281229342586445
15300,0,0.281229342586445
15400,0,0.277409054168257
15500,0,0.273598451867874
15600,0,0.273598451867874
15700,0,0.269798050689039
15800,0,0.266008530920604
15900,0,0.266008530920604
16000,0,0.262230409932837
16100,0,0.258464260732742
16200,0,0.258464260732742
16300,0,0.254710656973001
16400,0,0.250970172694278
16500,0,0.250970172694278
16600,0,0.247243382061973
16700,0,0.247243382061973
16800,0,0.243530859097547
16900,0,0.239833225460349
17000,0,0.239833225460349
17100,0,0.236150956784272
17200,0,0.236150956784272
17300,0,0.232484627194186
17400,0,0.232484627194186
17500,0,0.228834901643099
17600,0,0.225202301965339
17700,0,0.225202301965339
17800,0,0.22158739538692
17900,0,0.22158739538692
18000,0,0.217990746967447
18100,0,0.217990746967447
18200,0,0.214412919292761
18300,0,0.214412919292761
18400,0,0.21085447216351
18500,0,0.207315962279848
18600,0,0.207315962279848
18700,0,0.203797942922476
18800,0,0.203797942922476
18900,0,0.200300963630259
19000,0,0.200300963630259
19100,0,0.196825569573429
19200,0,0.196825569573429
19300,0,0.193372301654692
19400,0,0.193372301654692
19500,0,0.189941696722463
19600,0,0.189941696722463
19700,0,0.186534286064121
19800,0,0.186534286064121
19900,0,0.183150595570567
20000,0,0.183150595570567
20100,0,0.17979114539866
20200,0,0.17979114539866
20300,0,0.176456449632121
20400,0,0.176456449632121
20500,0,0.173147015941227
20600,0,0.173147015941227
20700,0,0.169863345241625
20800,0,0.169863345241625
20900,0,0.169863345241625
21000,0,0.1666059313526
21100,0,0.1666059313526
21200,0,0.163375227590849
21300,0,0.163375227590849
21400,0,0.160171778975194
21500,0,0.160171778975194
21600,0,0.156996054235645
21700,0,0.156996054235645
21800,0,0.153848451281184
21900,0,0.153848451281184
22000,0,0.153848451281184
22100,0,0.150729455846058
22200,0,0.150729455846058
22300,0,0.147639512033491
22400,0,0.147639512033491
22500,0,0.144579054436845
22600,0,0.144579054436845
22700,0,0.144579054436845
22800,0,0.141548507855801
22900,0,0.141548507855801
23000,0,0.138548286954264
