"n_tau","PE_before","PE_after"
204612.69905984,1.56952311565529e-35,1.56952311565529e-35
214612.69905984,7.8000806767315e-36,1.84346076137834e-35
224612.69905984,3.80887762729519e-36,1.88506071275305e-35
234612.69905984,1.71220253944587e-36,1.9036225548757e-35
244612.69905984,6.74451500414806e-37,1.91216546533156e-35
254612.69905984,2.5119172293539e-37,1.91566949219638e-35
264612.69905984,8.63202751885617e-38,1.9161200284292e-35
274612.69905984,2.76131032793691e-38,1.91439840779191e-35
284612.69905984,8.7640465414733e-39,1.91129082055259e-35
294612.69905984,2.46220455431899e-39,1.90706316246212e-35
304612.69905984,6.90715550583206e-40,1.90202585488374e-35
314612.69905984,2.05737098078643e-40,1.89580126144478e-35
324612.69905984,5.21942193029922e-41,1.88913977741138e-35
334612.69905984,1.52616754555329e-41,1.88234084315101e-35
344612.69905984,3.90335327002291e-42,1.87468386476446e-35
354612.69905984,1.04621803630437e-42,1.86613703270965e-35
364612.69905984,3.05463927653694e-43,1.8579035565231e-35
374612.69905984,8.03020855592542e-44,1.85026753900678e-35
384612.69905984,1.87977339645979e-44,1.84066566854945e-35
394612.69905984,5.0834569934447e-45,1.83182554193504e-35
404612.69905984,1.24689357328066e-45,1.82240948070429e-35
414612.69905984,3.75276815108088e-46,1.81240599218324e-35
424612.69905984,1.04922714991798e-46,1.80180333926234e-35
434612.69905984,2.70917257677059e-47,1.79059234579866e-35
444612.69905984,6.41846583254167e-48,1.78077825874819e-35
454612.69905984,2.05105136133938e-48,1.76842972138094e-35
464612.69905984,6.19847979558271e-49,1.75765922936078e-35
474612.69905984,1.76511200329149e-49,1.74644911865414e-35
484612.69905984,4.71746556700122e-50,1.73479879143741e-35
494612.69905984,1.17815906887308e-50,1.72270720733207e-35
