"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
0.05,0,0,0,120.199334855905,120.199334855905,0,0.997995953036643,120.199334855905,120.199334855905
0.1,0,0,0,140.681394146789,140.681394146789,0,0.997783851824478,140.681394146789,140.681394146789
0.15,0,0,0,164.063533569029,164.063533569029,0,0.997519576453121,164.063533569029,164.063533569029
0.2,0,0,0,191.072765891871,191.072765891871,0,0.997217530558647,191.072765891871,191.072765891871
0.25,0,0,10000,222.463701538599,222.463701538599,0,0.996885172538628,222.463701538599,10222.4637015386
0.3,0,0,9999.99999999999,259.102292583813,259.102292583813,0,0.996504301196545,259.102292583813,10259.1022925838
0.35,0,0,10000,302.01133040219,302.01133040219,0,0.996085802099376,302.01133040219,10302.0113304022
0.4,0,0,10000,352.411275381067,352.411275381067,0,0.995600414893187,352.411275381067,10352.4112753811
0.45,0,0,10000,411.772415436603,411.772415436603,0,0.995076690326751,411.772415436603,10411.7724154366
0.5,0,0,20000,481.869616295596,481.869616295596,0,0.994473585943531,481.869616295596,20481.8696162956
0.55,0,0,20000,564.853087707625,564.853087707625,0,0.993776872464421,564.853087707625,20564.8530877076
0.6,0,0,20000,663.333485629464,663.333485629464,0,0.992999927774369,663.333485629464,20663.3334856295
0.65,0,0,20000.0000000001,780.49095460325,780.49095460325,0,0.992100821993778,780.49095460325,20780.4909546033
0.7,0,0,20000,920.19108244171,920.19108244171,0,0.991094297377024,920.19108244171,20920.1910824417
0.75,0,0,20000,1087.17203244288,1087.17203244288,0,0.989923277221331,1087.17203244288,21087.1720324429
0.8,0,0,30000,1287.20692784625,1287.20692784625,0,0.988556416547707,1287.20692784625,31287.2069278463
0.85,0,0,30000,1527.36307372872,1527.36307372872,0,0.986953996944244,1527.36307372872,31527.3630737287
0.9,0,0,30000,1816.2955688393,1816.2955688393,0,0.985067829616607,1816.2955688393,31816.2955688393
0.95,0,0,30000,2164.60261091133,2164.60261091133,0,0.982837735460472,2164.60261091133,32164.6026109113
1,0,0,30000,2585.25176092371,2585.25176092371,0,0.980189367983529,2585.25176092371,32585.2517609237
1.05,0,0,30000,3094.04090813823,3094.04090813823,0,0.977105959859391,3094.04090813823,33094.0409081382
1.1,0,0,30000,3710.30100394623,3710.30100394623,0,0.973327295383309,3710.30100394623,33710.3010039462
1.15,0,0,30000,4457.49802846572,4457.49802846572,0,0.968775193749336,4457.49802846572,34457.4980284657
1.2,0,0,30000,5363.99340002363,5363.99340002363,0,0.963371819812375,5363.99340002363,35363.9934000236
1.25,0,0,30000,6463.9016386776,6463.9016386776,0,0.956683363101104,6463.9016386776,36463.9016386776
1.3,0,0,30000,7797.9273421171,7797.9273421171,0,0.948369998420462,7797.9273421171,37797.9273421171
1.35,0,0,30000,9414.11127533846,9414.11127533846,0,0.938310518155013,9414.11127533846,39414.1112753385
1.4,0,0,30000,11368.4646780327,11368.4646780327,0,0.925718518083671,11368.4646780327,41368.4646780327
1.45,0,0,30000,13725.0094756055,13725.0094756055,0,0.910105823295663,13725.0094756055,43725.0094756055
1.5,0,0,20000,16555.6095164116,16555.6095164116,0,0.890674276131272,16555.6095164116,36555.6095164116
1.55,0,0,20000,19938.3838827041,19938.3838827041,0,0.866110359902027,19938.3838827041,39938.3838827041
1.6,0,0,10000,23955.5223307267,23955.5223307267,0,0.834959070391941,23955.5223307267,33955.5223307267
1.65,0,0,0,28689.8427802244,28689.8427802244,0,0.795762875689149,0,0
1.7,0,0,0,44218.9712215085,34218.9712215085,1,0.754474443348289,0,0
1.75,0,0,0,50609.8497876913,40609.8497876913,1,0.701045878569368,0,0
1.8,0,0,0,57912.084876477,47912.084876477,1,0.630205947055418,0,0
1.85,0,0,0,66150.899363875,56150.899363875,1,0.535880404393442,0,0
1.9,0,0,0,85323.8715954918,65323.8715954918,1,0.410722493067223,0,0
1.95,0,0,0,115397.653519728,75397.6535197277,1,0.243005053852085,0,0
2,0,0,0,246309.408551134,86309.4085511341,1,0.0289676085975848,0,0
2.05,0,0,0,467970.58544575,97970.5854457503,1,8.11354832849874e-06,0,0
2.1,0,0,0,370273.842189558,110273.842189558,1,5.5295203527122e-10,0,0
2.15,0,0,0,313099.830916443,123099.830916443,1,4.55213121343003e-14,0,0
2.2,0,0,0,276326.200790802,136326.200790802,1,5.24083265970793e-18,0,0
2.25,0,0,0,259832.732997196,149832.732997196,1,8.64215131817358e-22,0,0
2.3,0,0,0,253507.848917739,163507.848917739,1,2.03198029955316e-25,0,0
2.35,0,0,0,247251.706075098,177251.706075098,1,6.72098542706767e-29,0,0
2.4,0,0,0,250977.593345424,190977.593345424,1,3.07649676846133e-32,0,0
2.45,0,0,0,264612.69905984,204612.69905984,1,1.9161200284292e-35,0,0
2.5,0,0,0,268097.771632728,218097.771632728,1,1.59694516450445e-38,0,0
2.55,0,0,0,281385.409996186,231385.409996186,1,1.75263124527136e-41,0,0
2.6,0,0,0,294439.456841257,244439.456841257,1,2.49471866907024e-44,0,0
