"ntau","param","before","after"
0,1000200,0,0
1000,1000200,0,0
2000,1000200,0.980947079260013,0.988439324410412
3000,1000200,0.963772306572474,0.982746926364661
4000,1000200,0.944931256805451,0.977048815028718
5000,1000200,0.924478836281233,0.971270457171372
6000,1000200,0.903984300776103,0.965568734322506
7000,1000200,0.881048322560038,0.959875622100409
8000,1000200,0.858480084493257,0.954350415486285
9000,1000200,0.836195136457027,0.94869267479424
10000,1000200,0.813090887323471,0.943026406191798
11000,1000200,0.789757312232319,0.93748901527099
12000,1000200,0.766842842263497,0.931963990970642
13000,1000200,0.745017406431306,0.926539966607908
14000,1000200,0.72146280931735,0.921009244101243
15000,1000200,0.696124564884088,0.915729093287687
16000,1000200,0.672958528521506,0.91011824328416
17000,1000200,0.652624751686912,0.904878582041974
18000,1000200,0.631358601399489,0.899354809436828
19000,1000200,0.609171423531017,0.89432808949383
20000,1000200,0.586084523596027,0.889069941274073
21000,1000200,0.562130159900537,0.883571545965672
22000,1000200,0.542371800093096,0.878275586446132
23000,1000200,0.522115512601122,0.873228752016002
24000,1000200,0.501396311607396,0.867992513894355
25000,1000200,0.485577469186016,0.862561295659848
26000,1000200,0.464150346850455,0.857450359798097
27000,1000200,0.447857235258989,0.852705678537149
28000,1000200,0.425882593184209,0.847269167893575
29000,1000200,0.409248725693461,0.842224769565789
30000,1000200,0.392516324269961,0.837618171339674
31000,1000200,0.375716873096153,0.83229496723963
32000,1000200,0.364496433150505,0.827435900772559
33000,1000200,0.347660448515941,0.822454968353794
34000,1000200,0.330850803891358,0.81735010973461
35000,1000200,0.319677745921174,0.812780494341604
36000,1000200,0.302997324975208,0.807438736556392
37000,1000200,0.291947373262352,0.802658950509089
38000,1000200,0.275508501348601,0.797779268593681
39000,1000200,0.264658123541912,0.793516192388603
40000,1000200,0.25390953056656,0.788448095206802
41000,1000200,0.238005162068901,0.784022127566278
42000,1000200,0.227566483401037,0.778762107195608
43000,1000200,0.217273895933252,0.774170232985074
44000,1000200,0.207139902174464,0.769500901160531
45000,1000200,0.197176796703492,0.764753597736054
46000,1000200,0.187396788485789,0.760737462770697
47000,1000200,0.177811578483269,0.755845991926321
48000,1000200,0.173095631831859,0.750875290274515
49000,1000200,0.163824025023137,0.746672248214588
50000,1000200,0.154775090342303,0.742413737527779
0,1100200,0,0
1000,1100200,0,0
2000,1100200,0.981559035442992,0.988437349653733
3000,1100200,0.964603997104114,0.982758029786905
4000,1100200,0.946393886481137,0.976983521146495
5000,1100200,0.926626142580784,0.971302969256986
6000,1100200,0.906815009067272,0.965606120247088
7000,1100200,0.884637323535627,0.959916503849421
8000,1100200,0.862805486647693,0.954393734431492
9000,1100200,0.841236373438287,0.948737666948
10000,1100200,0.818859852938296,0.943072471943428
11000,1100200,0.796244637031596,0.93753523634824
12000,1100200,0.774017594400576,0.932009705039091
13000,1100200,0.749665048555196,0.926584547921786
14000,1100200,0.726528976017322,0.921052027956201
15000,1100200,0.705293588807782,0.915769559342625
16000,1100200,0.682733758030207,0.910155604931452
17000,1100200,0.66291093457083,0.904912449847794
18000,1100200,0.637894744842382,0.899384373651933
19000,1100200,0.616032838826267,0.894353185332995
20000,1100200,0.597891348749946,0.889089801281352
21000,1100200,0.574422522292219,0.883585317782523
22000,1100200,0.555037583091136,0.878282902715101
23000,1100200,0.535137459031315,0.873229377307715
24000,1100200,0.514753207710393,0.867985482052806
25000,1100200,0.493921506854952,0.863048775583598
26000,1100200,0.478029616902058,0.857946219146471
27000,1100200,0.456522154794888,0.852673694430322
28000,1100200,0.4401824720736,0.847779707842927
29000,1100200,0.423691484502913,0.842741591435711
30000,1100200,0.407076815422687,0.837556712322708
31000,1100200,0.390367922796078,0.832822236254236
32000,1100200,0.373596368244141,0.827351930007414
33000,1100200,0.356795661736989,0.822359219678879
34000,1100200,0.345596384796395,0.817888310737081
35000,1100200,0.328826517904204,0.812660437111424
36000,1100200,0.317682386682627,0.807981016514836
37000,1100200,0.301049156494766,0.803202294864695
38000,1100200,0.290033023610871,0.798323094261492
39000,1100200,0.273648380732344,0.793342128777704
40000,1100200,0.262836370987499,0.78899114001214
41000,1100200,0.252127939699582,0.783818721913599
42000,1100200,0.241535639120872,0.779301981548782
43000,1100200,0.231072079814809,0.774707765624187
44000,1100200,0.220749830439891,0.770035500118918
45000,1100200,0.210581325440459,0.765284643492608
46000,1100200,0.200578965983228,0.760454547651105
47000,1100200,0.19075482540416,0.756368820505573
48000,1100200,0.181120748169742,0.751392655605242
49000,1100200,0.171688248751308,0.74718450415906
50000,1100200,0.162468449195525,0.74292035942552
0,1200200,0,0
1000,1200200,0,0
2000,1200200,0.982009446673365,0.988422389554441
3000,1200200,0.965511898223585,0.982744618581992
4000,1200200,0.947963017949395,0.977065464235805
5000,1200200,0.928910273488658,0.971293729448406
6000,1200200,0.908605130901573,0.965594142495959
7000,1200200,0.8884219235681,0.959900485086385
8000,1200200,0.867355671673718,0.95437285035164
9000,1200200,0.844488089503591,0.948711337392552
10000,1200200,0.822597310647257,0.943260691822493
11000,1200200,0.80046353656752,0.937496558210423
12000,1200200,0.778699318553313,0.932225370664952
13000,1200200,0.757941525088128,0.926531574508497
14000,1200200,0.735505877528358,0.921292309078675
15000,1200200,0.711329932234706,0.915700571886303
16000,1200200,0.689186077475835,0.910417862786293
17000,1200200,0.669715678287292,0.904825515460527
18000,1200200,0.6493166976418,0.89966591908862
19000,1200200,0.627992924026991,0.894247012960106
20000,1200200,0.605757317529327,0.888973386124323
21000,1200200,0.582632254034579,0.883890785998915
22000,1200200,0.563514295686553,0.878595237665447
23000,1200200,0.543871108169864,0.873547713719532
24000,1200200,0.523731236665475,0.868309645895971
25000,1200200,0.508320531028544,0.862875332075219
26000,1200200,0.487396569914524,0.857760370450981
27000,1200200,0.47144592232456,0.85301098721318
28000,1200200,0.449875110539823,0.847567948325106
29000,1200200,0.43350012375355,0.842516404239767
30000,1200200,0.416985331642195,0.837902366191143
31000,1200200,0.400358819351681,0.832569479288686
32000,1200200,0.383650725479892,0.827700559315044
33000,1200200,0.3668933873275,0.822708522099586
34000,1200200,0.355711191760089,0.817591228934928
35000,1200200,0.338948369574703,0.81300957943747
36000,1200200,0.327795973809061,0.808329389360778
37000,1200200,0.31113020529312,0.803549417357569
38000,1200200,0.300078545638116,0.798668456212391
39000,1200200,0.289087902198671,0.793685189619681
40000,1200200,0.27274295253774,0.789331774632314
41000,1200200,0.261958418986264,0.784155967940773
42000,1200200,0.251278092596117,0.779635820935841
43000,1200200,0.24071451311595,0.775037712322193
44000,1200200,0.230280224820513,0.770361046198644
45000,1200200,0.219987685172277,0.765605258653362
46000,1200200,0.209849375880481,0.760769678630067
47000,1200200,0.199877499590847,0.75667894216111
48000,1200200,0.190084088439546,0.751696218442118
49000,1200200,0.18048090289704,0.747482128642513
50000,1200200,0.171079339263882,0.743211600821777
0,1300200,0,0
1000,1300200,0,0
2000,1300200,0.982472545743519,0.988425837437487
3000,1300200,0.966468125433686,0.98276508444105
4000,1300200,0.948951518184561,0.977012874817378
5000,1300200,0.930370457752302,0.971342118835409
6000,1300200,0.910566983063614,0.965651213307679
7000,1300200,0.890879363619159,0.959965071626803
8000,1300200,0.870325217065621,0.954265582715004
9000,1300200,0.848005745929547,0.948788473418365
10000,1300200,0.82663055043641,0.943122848685126
11000,1300200,0.80500767250221,0.937584066104745
12000,1300200,0.783734479131813,0.932055795122968
13000,1300200,0.760400058367296,0.92662698031543
14000,1300200,0.741478192867413,0.921089752260255
15000,1300200,0.71780272788344,0.915801872728469
16000,1300200,0.696101082597759,0.910521358320443
17000,1300200,0.677005587780782,0.904930850390341
18000,1300200,0.652869526681534,0.899772510732898
19000,1300200,0.631740200884988,0.894354470373199
20000,1300200,0.614179259292936,0.889081240146642
21000,1300200,0.591422502586796,0.883998606600312
22000,1300200,0.572591030607107,0.878702590022316
23000,1300200,0.553224565926406,0.873185877445302
24000,1300200,0.533348928716202,0.868414826973648
25000,1300200,0.512994882602359,0.862978694466223
26000,1300200,0.49743735629819,0.857861597551583
27000,1300200,0.476338838025277,0.853109864392447
28000,1300200,0.460274652579393,0.847663698018116
29000,1300200,0.444029301021589,0.842608836844873
30000,1300200,0.427627590279439,0.837991420692787
31000,1300200,0.411096151109387,0.832654215644109
32000,1300200,0.394463679778685,0.827780966286629
33000,1300200,0.37776110573848,0.822784107297996
34000,1300200,0.366603154252467,0.818308718291683
35000,1300200,0.349857267671504,0.813074690185845
36000,1300200,0.333132468496081,0.808388924151405
37000,1300200,0.322012844917199,0.803602907613162
38000,1300200,0.310930573586137,0.798715410189181
39000,1300200,0.294402962193044,0.793725091458809
40000,1300200,0.283465824378271,0.789365202894452
41000,1300200,0.27260800457416,0.784181320865528
42000,1300200,0.261841785470951,0.779653785441145
43000,1300200,0.251179598845047,0.775047840105609
44000,1300200,0.235408688732597,0.770362872044291
45000,1300200,0.225061148845036,0.765598300138147
46000,1300200,0.219941990774999,0.761566478007928
47000,1300200,0.209820549153169,0.756654567404333
48000,1300200,0.199865078048865,0.752499406662557
49000,1300200,0.190087552714686,0.747438547189428
50000,1300200,0.180499644494992,0.743158666676277
0,1400200,0,0
1000,1400200,0,0
2000,1400200,0.982787149107114,0.988409840995524
3000,1400200,0.967066563084159,0.982813244783196
4000,1400200,0.950017338777611,0.977087942740318
5000,1400200,0.931930462424373,0.971324935152641
6000,1400200,0.912651177318402,0.965629845130033
7000,1400200,0.892059832646866,0.959938802451427
8000,1400200,0.871773607215139,0.954412527650059
9000,1400200,0.851711220422555,0.948751095630036
10000,1400200,0.830872620250813,0.943299386997746
11000,1400200,0.809781821430883,0.937533669054258
12000,1400200,0.789020050227914,0.932259866810638
13000,1400200,0.766231879490331,0.926562381082384
14000,1400200,0.744538763691403,0.921318935069791
15000,1400200,0.724588116758347,0.915721911531488
16000,1400200,0.703348614532099,0.910433430139002
17000,1400200,0.680794916090897,0.905193504743696
18000,1400200,0.660986089405573,0.899667414352903
19000,1400200,0.640254431835326,0.894240239330843
20000,1400200,0.618607707811303,0.888957810449604
21000,1400200,0.600642112718781,0.883866023905328
22000,1400200,0.577396790772546,0.878560171385664
23000,1400200,0.558192073626661,0.87350213089237
24000,1400200,0.543449101238533,0.868252273422703
25000,1400200,0.523362212191434,0.863308766595377
26000,1400200,0.502815655922073,0.858197972313524
27000,1400200,0.487127772517138,0.852915645589643
28000,1400200,0.471222635657983,0.848011388867395
29000,1400200,0.449714489473972,0.842961522598138
30000,1400200,0.433387968541445,0.837763305661484
31000,1400200,0.416922468197093,0.833015547991215
32000,1400200,0.400345852904367,0.82814595621615
33000,1400200,0.389247850232602,0.823152455030884
34000,1400200,0.372553791205437,0.818032847118294
35000,1400200,0.35583290284613,0.813448426387533
36000,1400200,0.344687882509146,0.808764724368323
37000,1400200,0.328000863513981,0.803288705664348
38000,1400200,0.316912745885698,0.799094367338856
39000,1400200,0.305867269557671,0.794105095807331
40000,1400200,0.289404780039834,0.789011754395864
41000,1400200,0.278517787816866,0.784562226935841
42000,1400200,0.26771542739426,0.780034613989433
43000,1400200,0.257010033485937,0.775428256346752
44000,1400200,0.246414016128888,0.770742524105115
45000,1400200,0.235939771146657,0.765976818624692
46000,1400200,0.225599808584245,0.761130433060049
47000,1400200,0.215406434946425,0.757029988383178
48000,1400200,0.205371878422687,0.752034738420426
49000,1400200,0.195508188251364,0.74780945443546
50000,1400200,0.185827142459596,0.743527022146353
0,1500200,0,0
1000,1500200,0,0
2000,1500200,0.983112136355505,0.988406395656487
3000,1500200,0.967704056796235,0.982818404887389
4000,1500200,0.95051783277495,0.977014237361916
5000,1500200,0.932691294760779,0.97134684920184
6000,1500200,0.913691084258134,0.965655820085905
7000,1500200,0.894797868572752,0.959967742225085
8000,1500200,0.875066213738733,0.954443577660649
9000,1500200,0.853628496889726,0.948784006175336
10000,1500200,0.833084266214958,0.943113429910362
11000,1500200,0.81228676939802,0.937569189187896
12000,1500200,0.791808872533606,0.932034543158511
13000,1500200,0.76932546879095,0.926598784127049
14000,1500200,0.74791530112995,0.921355272906002
15000,1500200,0.728218137085994,0.915757836139575
16000,1500200,0.707240843908227,0.910468640031611
17000,1500200,0.684956316526161,0.905227696979929
18000,1500200,0.665375502401643,0.89970020061641
19000,1500200,0.644873540087553,0.894271313158478
20000,1500200,0.62345632130673,0.88898690258886
21000,1500200,0.605672740997196,0.8838929123686
22000,1500200,0.587324415997905,0.878584457501387
23000,1500200,0.568427527108378,0.873523645874021
24000,1500200,0.549003531045404,0.868270612925951
25000,1500200,0.529078789326216,0.863323837664475
26000,1500200,0.508685234489962,0.858209381011535
27000,1500200,0.493105207003731,0.852922966730713
28000,1500200,0.477300871842496,0.848014640362215
29000,1500200,0.461292475204615,0.842960307690363
30000,1500200,0.439669549582326,0.837757201164952
31000,1500200,0.423275439566741,0.833004719215415
32000,1500200,0.412276551954911,0.828130026058724
33000,1500200,0.395695522091605,0.82313102503465
34000,1500200,0.379042290829506,0.818005496461251
35000,1500200,0.3679159172315,0.813415532167922
36000,1500200,0.351215060043696,0.808725930984329
37000,1500200,0.340088984584984,0.803935391068715
38000,1500200,0.323438736946897,0.799042642660746
39000,1500200,0.312380880359787,0.794046304527464
40000,1500200,0.301370280409211,0.789680613424504
41000,1500200,0.284969049623046,0.784489173237533
42000,1500200,0.274128894854501,0.779954451599113
43000,1500200,0.263378089126369,0.775340636510825
44000,1500200,0.252729010364196,0.770647085947275
45000,1500200,0.242193995459049,0.765873188815303
46000,1500200,0.231785528392834,0.761833005995939
47000,1500200,0.221515916581515,0.756910328741649
48000,1500200,0.211397422998905,0.752745562552831
49000,1500200,0.201442165866273,0.747672388903997
50000,1500200,0.196529448218847,0.743381568105003
0,1600200,0,0
1000,1600200,0,0
2000,1600200,0.983441739618364,0.98841238275155
3000,1600200,0.967999947539252,0.982777712473945
4000,1600200,0.951693133487864,0.977056794666045
5000,1600200,0.933536367693138,0.971401888901659
6000,1600200,0.914835418250873,0.96572120248713
7000,1600200,0.896238799897445,0.960042700086529
8000,1600200,0.876814871042853,0.954349190517606
9000,1600200,0.855707975313988,0.948876259470516
10000,1600200,0.835476395281037,0.943213507339628
11000,1600200,0.814990213149153,0.93767686636418
12000,1600200,0.794813051978465,0.93214924159338
13000,1600200,0.772652462236832,0.926720030147316
14000,1600200,0.751541848235364,0.921181356932216
15000,1600200,0.732112962286922,0.91589112378044
16000,1600200,0.711413140191025,0.910607314899118
17000,1600200,0.689413319017011,0.905012294899773
18000,1600200,0.670073947755523,0.899848860348288
19000,1600200,0.649815144970175,0.894424508066021
20000,1600200,0.628640988429716,0.889144191493432
21000,1600200,0.611050280999656,0.884053848749685
22000,1600200,0.592892025881404,0.878748882850562
23000,1600200,0.574180963679865,0.873691101052622
24000,1600200,0.55493698080676,0.868440907200232
25000,1600200,0.535184734087444,0.863496520852243
26000,1600200,0.514954326265525,0.858384243921819
27000,1600200,0.499489270887284,0.853099772748107
28000,1600200,0.483792884674425,0.848192968613446
29000,1600200,0.462537911152412,0.843139919918217
30000,1600200,0.446380190824016,0.83793783478673
31000,1600200,0.430063415680254,0.833186019622748
32000,1600200,0.419109941091661,0.828311746552108
33000,1600200,0.402587131845381,0.82331289897838
34000,1600200,0.385979425236593,0.818187236326257
35000,1600200,0.369318262937754,0.813596901696058
36000,1600200,0.358197434732276,0.808906678070424
37000,1600200,0.341522090910512,0.804115247778596
38000,1600200,0.330424696478779,0.7992213246528
39000,1600200,0.319355811771549,0.794223510429565
40000,1600200,0.302830838579297,0.789856301006765
41000,1600200,0.291883533991194,0.784662778125399
42000,1600200,0.281005570335616,0.780125991063693
43000,1600200,0.270209047675008,0.775509839143582
44000,1600200,0.259506239532787,0.77081366791711
45000,1600200,0.248909312141941,0.766036853707472
46000,1600200,0.238430759718942,0.761994004165598
47000,1600200,0.228082877761265,0.757067832748466
48000,1600200,0.217877952044997,0.752899900427863
49000,1600200,0.207828158809862,0.747822610408539
50000,1600200,0.19794547315992,0.743528085714146
0,1700200,0,0
1000,1700200,0,0
2000,1700200,0.983639317897428,0.988395414648232
3000,1700200,0.968331135720679,0.982818696006488
4000,1700200,0.952299291945717,0.977031814658589
5000,1700200,0.934448470481462,0.971371970524509
6000,1700200,0.916062141315723,0.965685368718024
7000,1700200,0.897776836079151,0.960000131268091
8000,1700200,0.878675222172214,0.954477726764299
9000,1700200,0.857914741540191,0.94881915603838
10000,1700200,0.838010104645366,0.943148872439962
11000,1700200,0.817849272853681,0.937604284964166
12000,1700200,0.797986138212804,0.932068836158416
13000,1700200,0.776162868484057,0.926631560509659
14000,1700200,0.755365125073938,0.92138607176443
15000,1700200,0.736216480997367,0.915785971212422
16000,1700200,0.715806582604542,0.910493736619355
17000,1700200,0.694104508642544,0.905249285307566
18000,1700200,0.675017415743224,0.899717554123501
19000,1700200,0.65501325095381,0.894681001287233
20000,1700200,0.634093735615182,0.889409929471891
21000,1700200,0.616705296753679,0.883895138284903
22000,1700200,0.594169279768183,0.87858060385646
23000,1700200,0.575516993443934,0.87351352978869
24000,1700200,0.55633126351375,0.868253515692886
25000,1700200,0.541606247307229,0.863299719170461
26000,1700200,0.521548430051089,0.858177547961936
27000,1700200,0.506205433462659,0.853420056368859
28000,1700200,0.485379878650904,0.847966051644094
29000,1700200,0.469508870852085,0.842902732751607
30000,1700200,0.453445249657752,0.838276596676406
31000,1700200,0.437212134738416,0.832928130805888
32000,1700200,0.420834603295146,0.828043493921472
33000,1700200,0.409849456797699,0.82303371210023
34000,1700200,0.393292848834125,0.818546096344047
35000,1700200,0.376668831713545,0.813296465667756
36000,1700200,0.365564562762992,0.808595702803364
37000,1700200,0.348901107601573,0.80379336654791
38000,1700200,0.337802646194224,0.798888159464088
39000,1700200,0.321197893869515,0.794600714381852
40000,1700200,0.31017300546989,0.789501137586378
41000,1700200,0.299197618068077,0.785045450930971
42000,1700200,0.288283443822955,0.780510889749985
43000,1700200,0.277442441042555,0.775896758725612
44000,1700200,0.266686719290657,0.771202390952258
45000,1700200,0.256028452324594,0.766427149931908
46000,1700200,0.245480072940146,0.761570289824687
47000,1700200,0.235053755815928,0.75746037106808
48000,1700200,0.224761840802825,0.753293164592403
49000,1700200,0.214616546544548,0.748216487916272
50000,1700200,0.204629926836309,0.743922249871017
0,1800200,0,0
1000,1800200,0,0
2000,1800200,0.983844367014914,0.988385720598594
3000,1800200,0.968690527043029,0.982808718394301
4000,1800200,0.9529456580753,0.977025833997869
5000,1800200,0.935413068082097,0.971366219683049
6000,1800200,0.917353240944378,0.965678335955516
7000,1800200,0.899390504295193,0.959991157243712
8000,1800200,0.879041309365337,0.954466460322877
9000,1800200,0.860220306100874,0.948805225679478
10000,1800200,0.840653657061175,0.943352370353837
11000,1800200,0.82082908999746,0.937825482584518
12000,1800200,0.798714756026515,0.932307142205173
13000,1800200,0.7798159048221,0.926604686388362
14000,1800200,0.759341658981481,0.921355610666499
15000,1800200,0.73721913339484,0.915751470954627
16000,1800200,0.716897377857611,0.910455221712769
17000,1800200,0.698979397809404,0.905206603699113
18000,1800200,0.680153967495837,0.899670275341753
19000,1800200,0.660413798849196,0.894629356933795
20000,1800200,0.639758982794997,0.889353533199812
21000,1800200,0.618196603875254,0.883833570526269
22000,1800200,0.600304297598813,0.878965587154021
23000,1800200,0.581854654578666,0.873441674129418
24000,1800200,0.562865489535433,0.868662973441394
25000,1800200,0.543359195291172,0.863217040412852
26000,1800200,0.52840649991046,0.858089180542369
27000,1800200,0.50806537183297,0.853326249642472
28000,1800200,0.492526908136458,0.848419956038531
29000,1800200,0.476766100622698,0.843366977530788
30000,1800200,0.460803251322876,0.838164482036358
31000,1800200,0.444660481619349,0.833411864397162
32000,1800200,0.42836170239675,0.828536344233964
33000,1800200,0.411933345129103,0.823535772058433
34000,1800200,0.395403528727515,0.818407872813491
35000,1800200,0.384342104964633,0.813815133051583
36000,1800200,0.36771111392925,0.809122059790866
37000,1800200,0.356612367581457,0.80432730938323
38000,1800200,0.339972801106036,0.799429568764989
39000,1800200,0.328901071105845,0.794427411730168
40000,1800200,0.317859215261509,0.790056040235299
41000,1800200,0.306858699666494,0.784857122402885
42000,1800200,0.290460735034046,0.780315227036607
43000,1800200,0.279614570266646,0.775693499259651
44000,1800200,0.268851089720917,0.770991264504265
45000,1800200,0.258182413658839,0.767010771402637
46000,1800200,0.247620886913749,0.762159148909917
47000,1800200,0.237178740600717,0.757225418966755
48000,1800200,0.226868283332558,0.753050754256001
49000,1800200,0.221766218264457,0.748818297102872
50000,1800200,0.211675997637158,0.743662674397573
0,1900200,0,0
1000,1900200,0,0
2000,1900200,0.984054043978123,0.988382416995951
3000,1900200,0.969072255574782,0.982810783229842
4000,1900200,0.953045384193249,0.97703659777167
5000,1900200,0.936418326028668,0.971381204303578
6000,1900200,0.918693890816168,0.965696016270638
7000,1900200,0.899755127114285,0.96001104338382
8000,1900200,0.881083839077192,0.954488083177359
9000,1900200,0.860787267941856,0.948828301472385
10000,1900200,0.841322311448534,0.943156244984241
11000,1900200,0.821600551632948,0.937609604617397
12000,1900200,0.802162839164625,0.932333093939355
13000,1900200,0.78079758544106,0.926631084704062
14000,1900200,0.76042663156383,0.921382215393156
15000,1900200,0.74166143197208,0.915778081617268
16000,1900200,0.721649590186738,0.910481635780629
17000,1900200,0.70035786951341,0.905232630007474
18000,1900200,0.681619984035601,0.89969568522836
19000,1900200,0.661969214514647,0.894654020851165
20000,1900200,0.641404967205348,0.889377228254384
21000,1900200,0.624300108680643,0.883856046297427
22000,1900200,0.606622324460742,0.878986813486571
23000,1900200,0.583737312601881,0.873461285261349
24000,1900200,0.569598438361028,0.8686810181978
25000,1900200,0.550289049369289,0.863233109119213
26000,1900200,0.530480583570886,0.858103202900584
27000,1900200,0.515315443578221,0.85333821013919
28000,1900200,0.494712535711091,0.848429630540182
29000,1900200,0.478995926465871,0.843374125986488
30000,1900200,0.463074642529303,0.838168847894247
31000,1900200,0.44697038253654,0.833413527275797
32000,1900200,0.430706952438665,0.828535074711833
33000,1900200,0.419788911249493,0.823531327328178
34000,1900200,0.403318596746257,0.818399996034548
35000,1900200,0.386762447464139,0.813804031345305
36000,1900200,0.375692537878039,0.809107515479695
37000,1900200,0.359063359125993,0.80430909443006
38000,1900200,0.347975712438686,0.799407444455642
39000,1900200,0.331368275555369,0.794401128236641
40000,1900200,0.320328528552348,0.790025984522668
41000,1900200,0.30932749056672,0.78557236545725
42000,1900200,0.298376609005953,0.780276305384795
43000,1900200,0.287487608533435,0.775650149294354
44000,1900200,0.276672397293112,0.770943263050658
45000,1900200,0.265942980999174,0.766958717514705
46000,1900200,0.255311623498582,0.762102013551195
47000,1900200,0.244790503676404,0.757991885198325
48000,1900200,0.234391872011021,0.752983658302327
49000,1900200,0.22412795231629,0.748746386436955
50000,1900200,0.214010890675393,0.744450859154363
0,2000200,0,0
1000,2000200,0,0
2000,2000200,0.984265893731975,0.988383556833207
3000,2000200,0.969471442846309,0.982823610000233
4000,2000200,0.953758416802243,0.977061742132418
5000,2000200,0.936648944394506,0.971414012750757
6000,2000200,0.919025144594869,0.96573549836177
7000,2000200,0.90149496117073,0.960056338972112
8000,2000200,0.881632685668657,0.954360291790797
9000,2000200,0.863257725608612,0.948883855128765
10000,2000200,0.844149161699034,0.943216556409427
11000,2000200,0.824781803627937,0.937674139833022
12000,2000200,0.803168096497778,0.932140313116978
13000,2000200,0.784688216779911,0.926703788281689
14000,2000200,0.764658231156847,0.921458425562543
15000,2000200,0.743003024428263,0.915857817212684
16000,2000200,0.723098217726356,0.910564497041198
17000,2000200,0.70553743366504,0.905318392032465
18000,2000200,0.6832749218033,0.899784295292892
19000,2000200,0.663721173260956,0.894745035380714
20000,2000200,0.647421161921093,0.889470566907844
21000,2000200,0.626229205714341,0.88395160619947
22000,2000200,0.608630186752884,0.879084153853954
23000,2000200,0.590469022444087,0.873560443582296
24000,2000200,0.571761301581304,0.868781575697276
25000,2000200,0.552526985003793,0.863335064988553
26000,2000200,0.537770485739919,0.858206284519259
27000,2000200,0.517678335943323,0.853442171548216
28000,2000200,0.502315533563735,0.847980004840565
29000,2000200,0.486719457588696,0.843479411093593
30000,2000200,0.470909074568581,0.838274547033582
31000,2000200,0.454905050955589,0.833519438313671
32000,2000200,0.438730066694862,0.828641038163342
33000,2000200,0.422409141403247,0.823637171054619
34000,2000200,0.405968826940004,0.818505534623708
35000,2000200,0.394956467042832,0.813909139957139
36000,2000200,0.378382151655943,0.809212031851836
37000,2000200,0.367309337270066,0.804412846235137
38000,2000200,0.35068994279701,0.799510248928318
39000,2000200,0.339618652796399,0.794502791765612
40000,2000200,0.323050967396164,0.790126507583855
41000,2000200,0.312048281259457,0.78492140636012
42000,2000200,0.301092802866184,0.780373806493771
43000,2000200,0.290196179189566,0.77574598471865
44000,2000200,0.279370248564864,0.771037250801431
45000,2000200,0.26862695494297,0.767051020699814
