"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1,1,0,0,46061.4233272917,42061.4233272917,1,0.515650776451988,0,0
1.02,1,0,0,41092.3530991989,37092.3530991989,1,0.561154230030438,0,0
1.04,1,0,0,36778.9414838224,32778.9414838224,1,0.603790916506709,0,0
1.06,1,0,0,33038.8748194603,29038.8748194603,1,0.643143720913303,0,0
1.08,1,0,0,29796.8250890576,25796.8250890576,1,0.678986309210355,0,0
1.1,1,0,0,26985.2179675704,22985.2179675704,1,0.711268703864185,0,0
1.12,1,0,0,24544.2600701874,20544.2600701874,1,0.74014224538967,0,0
1.14,1,0,0,22421.8500080004,18421.8500080004,1,0.76575048991402,0,0
1.16,1,0,0,20572.7967140751,16572.7967140751,1,0.788328679685292,0,0
1.18,1,0,0,18958.2776137065,14958.2776137065,1,0.808251281986053,0,18958.2776137065
1.2,1,0,8000,17545.0490308817,13545.0490308817,1,0.825705239545932,13545.0490308817,21545.0490308817
1.22,1,0,12000,16304.7283590379,12304.7283590379,1,0.840952139470842,12304.7283590379,24304.7283590379
1.24,1,0,12000,15213.1429463535,11213.1429463535,1,0.854384148086044,11213.1429463535,23213.1429463535
1.26,1,0,16000,14249.7579663343,10249.7579663343,1,0.86609995299323,10249.7579663343,26249.7579663343
1.28,1,0,16000,13397.0689565289,9397.06895652887,1,0.876462924576856,9397.06895652887,25397.0689565289
1.3,1,0,16000,12640.1760464042,8640.17604640421,1,0.885502878790146,8640.17604640421,24640.1760464042
1.32,1,0,16000,11966.4045511419,7966.4045511419,1,0.893374534232758,7966.4045511419,23966.4045511419
1.34,1,4000.00000000003,20000,11364.9117749501,7364.91177495007,1,0.900392221979395,11364.9117749501,27364.9117749501
1.36,1,4000.00000000003,20000,6826.45811305027,6826.45811305027,0,0.907312057975417,10826.4581130503,26826.4581130503
1.38,1,3999.99999999997,20000,6343.11005617833,6343.11005617833,0,0.914319429233807,10343.1100561783,26343.1100561783
1.4,1,4000,20000,5908.07068750228,5908.07068750228,0,0.920708695197642,9908.07068750228,25908.0706875023
1.42,1,4000,20000,5515.49083352407,5515.49083352407,0,0.926390937832052,9515.49083352407,25515.4908335241
1.44,1,4000,20000,5160.32563086534,5160.32563086534,0,0.931605770046599,9160.32563086534,25160.3256308653
1.46,1,4000,20000,4838.21732554119,4838.21732554119,0,0.936259293910379,8838.21732554119,24838.2173255412
1.48,1,4000,20000,4545.40064380099,4545.40064380099,0,0.940559312436831,8545.40064380099,24545.400643801
1.5,1,4000,24000,4278.57877498871,4278.57877498871,0,0.944409979898937,8278.57877498871,28278.5787749887
1.52,1,4000,24000,4034.89726559666,4034.89726559666,0,0.947862537468867,8034.89726559666,28034.8972655967
1.54,1,4000,24000,3811.88402700866,3811.88402700866,0,0.951088569657496,7811.88402700866,27811.8840270087
