"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1,1,0,0,95637.6464720301,95637.6464720301,0,0.0705113976423808,0,0
1.02,1,0,0,89109.1996802202,89109.1996802202,0,0.0846173892123002,0,0
1.04,1,0,0,83050.3677781148,83050.3677781148,0,0.100273964807187,0,0
1.06,1,0,0,77432.8973446161,77432.8973446161,0,0.117324923153299,0,0
1.08,1,0,0,72228.0049583707,72228.0049583707,0,0.135777243964758,0,0
1.1,1,0,0,67408.5716865329,67408.5716865329,0,0.155453750858746,0,0
1.12,1,0,0,62947.9115667869,62947.9115667869,0,0.176204742906326,0,0
1.14,1,0,0,58820.4948866164,58820.4948866164,0,0.197865822114349,0,0
1.16,1,0,0,55002.0701576026,55002.0701576026,0,0.22026412674796,0,0
1.18,1,0,0,51469.7415059525,51469.7415059525,0,0.243224071092758,0,0
1.2,1,0,0,48201.8265476562,48201.8265476562,0,0.266751417953373,0,0
1.22,1,0,0,45177.9142900609,45177.9142900609,0,0.290339124200422,0,0
1.24,1,0,0,42379.3432128102,42379.3432128102,0,0.314199783995142,0,0
1.26,1,0,0,39788.3917736799,39788.3917736799,0,0.337789722828862,0,0
1.28,1,0,0,37388.5076088957,37388.5076088957,0,0.361405618351822,0,0
1.3,1,0,0,35164.7695507901,35164.7695507901,0,0.384722271407905,0,0
1.32,1,0,0,33103.16446488,33103.16446488,0,0.407638616630054,0,0
1.34,1,0,0,31190.7787850147,31190.7787850147,0,0.430324452609101,0,0
1.36,1,0,0,29415.5013424118,29415.5013424118,0,0.452205065861518,0,0
1.38,1,0,0,27766.7507613652,27766.7507613652,0,0.473469453249273,0,0
1.4,1,0,0,26234.2615470823,26234.2615470823,0,0.494344521428842,0,0
1.42,1,0,0,24809.0270625872,24809.0270625872,0,0.514260281195256,0,0
1.44,1,0,0,23482.2175854918,23482.2175854918,0,0.533736417234018,0,0
1.46,1,0,0,22246.3702279938,22246.3702279938,0,0.552485287952347,0,0
1.48,1,0,0,21094.3244994087,21094.3244994087,0,0.570500471143173,0,0
1.5,1,0,0,20019.5554032784,20019.5554032784,0,0.587781397470559,0,0
1.52,1,0,0,19016.118518885,19016.118518885,0,0.604333427179894,0,0
1.54,1,0,0,18078.3850613165,18078.3850613165,0,0.620434094965299,0,0
1.56,1,0,0,17201.4442389905,17201.4442389905,0,0.635563270454473,0,0
1.58,1,0,0,16380.8093641997,16380.8093641997,0,0.650263192135589,0,0
1.6,1,0,0,15612.0096799278,15612.0096799278,0,0.664037012622349,0,0
1.62,1,0,0,14891.3615669968,14891.3615669968,0,0.677415874309728,0,0
1.64,1,0,0,14215.3232481118,14215.3232481118,0,0.690164076938658,0,0
1.66,1,0,0,13580.5756068461,13580.5756068461,0,0.702305959358257,0,0
1.68,1,0,0,12984.0932670476,12984.0932670476,0,0.713631512434029,0,0
1.7,1,0,0,12423.1195395421,12423.1195395421,0,0.72487058949237,0,0
1.72,1,0,0,11895.1375361396,11895.1375361396,0,0.735342153201579,0,0
1.74,1,0,0,11397.8518536961,11397.8518536961,0,0.745305115495412,0,0
1.76,1,0,0,10929.1660895544,10929.1660895544,0,0.754782969451493,0,0
1.78,1,0,0,10487.0986242297,10487.0986242297,0,0.764008073240584,0,0
1.8,1,0,0,10069.658269063,10069.658269063,0,0.772583002465915,0,0
1.82,1,0,0,9675.44332017798,9675.44332017798,0,0.780937805031304,0,0
1.84,1,0,0,9302.62745174364,9302.62745174364,0,0.78869628752775,0,0
1.86,1,0,0,8949.9701701981,8949.9701701981,0,0.79626788090521,0,0
1.88,1,0,0,8616.15038685863,8616.15038685863,0,0.803473837826072,8616.15038685863,8616.15038685863
1.9,1,0,0,8299.86229228152,8299.86229228152,0,0.810155650635509,8299.86229228152,8299.86229228152
1.92,1,0,0,7999.95821785876,7999.95821785876,0,0.816694303047136,7999.95821785876,7999.95821785876
1.94,1,0,0,7715.46328464243,7715.46328464243,0,0.82292163848874,7715.46328464243,7715.46328464243
1.96,1,0,0,7445.40116911159,7445.40116911159,0,0.828854868436142,7445.40116911159,7445.40116911159
1.98,1,0,0,7188.8755773504,7188.8755773504,0,0.834508885326969,7188.8755773504,7188.8755773504
2,1,0,0,6945.02146934835,6945.02146934835,0,0.840055048500423,6945.02146934835,6945.02146934835
2.02,1,0,0,6713.02176832248,6713.02176832248,0,0.845192745622891,6713.02176832248,6713.02176832248
2.04,1,0,0,6492.24660616202,6492.24660616202,0,0.850093713361709,6492.24660616202,6492.24660616202
2.06,1,0,0,6282.05756084613,6282.05756084613,0,0.854769575772491,6282.05756084613,6282.05756084613
2.08,1,0,0,6081.693319852,6081.693319852,0,0.859374302142399,6081.693319852,6081.693319852
2.1,1,0,4000,5890.6777280186,5890.6777280186,0,0.863634986409009,5890.6777280186,9890.6777280186
2.12,1,0,4000,5708.45764899797,5708.45764899797,0,0.867836972024383,5708.45764899797,9708.45764899797
2.14,1,0,4000,5534.50183882902,5534.50183882902,0,0.871724472504993,5534.50183882902,9534.50183882902
2.16,1,0,4000,5368.3408839123,5368.3408839123,0,0.875566486305474,5368.3408839123,9368.3408839123
2.18,1,0,4000,5209.62867925609,5209.62867925609,0,0.879238620270285,5209.62867925609,9209.62867925609
2.2,1,0,4000,5057.7694537438,5057.7694537438,0,0.882636114736466,5057.7694537438,9057.7694537438
2.22,1,0,4000,4912.5195360914,4912.5195360914,0,0.886002595324074,4912.5195360914,8912.5195360914
2.24,1,4000,4000,4773.51847820591,4773.51847820591,0,0.889224878747483,8773.51847820591,8773.51847820591
2.26,1,4000,4000,4640.4143996454,4640.4143996454,0,0.892310840838558,8640.4143996454,8640.4143996454
2.28,1,4000,4000,4512.88172288693,4512.88172288693,0,0.895268028365413,8512.88172288693,8512.88172288693
2.3,1,3999.99999999999,3999.99999999999,4390.61903467143,4390.61903467143,0,0.898102609831454,8390.61903467142,8390.61903467142
2.32,1,4000,4000,4273.34294099036,4273.34294099036,0,0.900721216971807,8273.34294099036,8273.34294099036
2.34,1,4000,4000,4160.80724970052,4160.80724970052,0,0.903428930592128,8160.80724970052,8160.80724970052
2.36,1,4000,4000,4052.7594153899,4052.7594153899,0,0.905931960966504,8052.7594153899,8052.7594153899
2.38,1,4000,4000,3948.98098393643,3948.98098393643,0,0.908335202210329,7948.98098393643,7948.98098393643
2.4,1,4000,4000,3849.26527347579,3849.26527347579,0,0.910643400887459,7849.26527347579,7849.26527347579
2.42,1,4000,4000,3753.42033111285,3753.42033111285,0,0.912860986406593,7753.42033111285,7753.42033111285
2.44,1,4000,4000,3661.2678049433,3661.2678049433,0,0.914992092245175,7661.2678049433,7661.2678049433
2.46,1,4000,4000,3572.60097171004,3572.60097171004,0,0.917124457124495,7572.60097171004,7572.60097171004
2.48,1,4000,4000,3487.19317351395,3487.19317351395,0,0.919095182567228,7487.19317351395,7487.19317351395
2.5,1,4000,4000,3404.99947795792,3404.99947795792,0,0.920990471031521,7404.99947795792,7404.99947795792
2.52,1,4000,4000,3325.82506397714,3325.82506397714,0,0.922891808529777,7325.82506397714,7325.82506397714
2.54,1,4000,4000,3249.46940504101,3249.46940504101,0,0.924648440078134,7249.46940504101,7249.46940504101
2.56,1,4000,4000,3175.94191507391,3175.94191507391,0,0.926411979776205,7175.94191507391,7175.94191507391
2.58,1,4000,4000,3104.91006416414,3104.91006416414,0,0.928041931194641,7104.91006416414,7104.91006416414
2.6,1,4000,4000,3036.4836464504,3036.4836464504,0,0.92968054276285,7036.4836464504,7036.4836464504
2.62,1,4000,4000,2970.32983009083,2970.32983009083,0,0.931194766092635,6970.32983009083,6970.32983009083
2.64,1,4000,4000,2906.52867003151,2906.52867003151,0,0.93272025678002,6906.52867003151,6906.52867003151
2.66,1,4000,4000,2844.86592775857,2844.86592775857,0,0.934128139850647,6844.86592775857,6844.86592775857
2.68,1,4000,4000,2785.27450294026,2785.27450294026,0,0.935550529808973,6785.27450294026,6785.27450294026
2.7,1,4000,4000,2727.71971277117,2727.71971277117,0,0.936922931082557,6727.71971277117,6727.71971277117
2.72,1,4000,4000,2672.02141837383,2672.02141837383,0,0.938188896001086,6672.02141837383,6672.02141837383
2.74,1,4000,4000,2618.13537154593,2618.13537154593,0,0.939471575785532,6618.13537154593,6618.13537154593
2.76,1,4000,4000,2566.02053674207,2566.02053674207,0,0.940710298261719,6566.02053674207,6566.02053674207
2.78,1,4000,4000,2515.59463708968,2515.59463708968,0,0.941907307306093,6515.59463708968,6515.59463708968
2.8,1,4000,4000,2466.75517027023,2466.75517027023,0,0.943010931748145,6466.75517027023,6466.75517027023
2.82,1,4000,4000,2419.4185241186,2419.4185241186,0,0.944132655853802,6419.4185241186,6419.4185241186
2.84,1,4000,4000,2373.56614734912,2373.56614734912,0,0.945218174890835,6373.56614734912,6373.56614734912
2.86,1,4000,7999.99999999998,2329.13410988892,2329.13410988892,0,0.946268526100953,6329.13410988892,10329.1341098889
