"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1,1,0,0,99645.6359591771,95645.6359591771,1,0.000278499068079705,0,0
1.02,1,0,0,97116.5566220737,89116.5566220737,1,0.000681403831783151,0,0
1.04,1,0,0,99057.1320060933,83057.1320060933,1,0.00159466617938861,0,0
1.06,1,0,0,97439.1305891341,77439.1305891341,1,0.00294120045432956,0,0
1.08,1,0,0,96233.7404745763,72233.7404745763,1,0.00504262701545487,0,0
1.1,1,0,0,99413.8521061812,67413.8521061812,1,0.00830924666987853,0,0
1.12,1,0,0,98952.7763632744,62952.7763632744,1,0.0124412871486461,0,0
1.14,1,0,0,98824.9804961153,58824.9804961153,1,0.0176990282969957,0,0
1.16,1,0,0,95006.2101205577,55006.2101205577,1,0.0241456470149348,0,0
1.18,1,0,0,87473.5666223447,51473.5666223447,1,0.0320476919112603,0,0
1.2,1,0,0,80205.3540654333,48205.3540654333,1,0.0415350453050179,0,0
1.22,1,0,0,73181.181252547,45181.181252547,1,0.0526386675796983,0,0
1.24,1,0,0,66382.3627726458,42382.3627726458,1,0.06532765759793,0,0
1.26,1,0,0,63791.1961022519,39791.1961022519,1,0.079697218979066,0,0
1.28,1,0,0,57391.106406725,37391.106406725,1,0.0954910886957901,0,0
1.3,1,0,0,55167.1811638556,35167.1811638556,1,0.112827336350565,0,0
1.32,1,0,0,53105.405604761,33105.405604761,1,0.131217233382799,0,0
1.34,1,0,0,47192.8556634939,31192.8556634939,1,0.151046774440337,0,0
1.36,1,0,0,45417.4370593476,29417.4370593476,1,0.171688649931127,0,0
1.38,1,0,0,43768.5578954236,27768.5578954236,1,0.192876198276001,0,0
1.4,1,0,0,38235.943326303,26235.943326303,1,0.215025490697355,0,0
1.42,1,0,0,36810.6023227492,24810.6023227492,1,0.237704425362086,0,0
1.44,1,0,0,35483.6880481496,23483.6880481496,1,0.260455556137269,0,0
1.46,1,0,0,34247.7449354249,22247.7449354249,1,0.283018605401401,0,0
1.48,1,0,0,29095.6116838135,21095.6116838135,1,0.305453784876431,0,0
1.5,1,0,0,28020.7625610722,20020.7625610722,1,0.328868377260249,0,0
1.52,1,0,0,27017.2524785879,19017.2524785879,1,0.351737396098325,0,0
1.54,1,0,0,26079.4454815936,18079.4454815936,1,0.374143212841856,0,0
1.56,1,0,0,25202.4435436029,17202.4435436029,1,0.395961119132816,0,0
1.58,1,0,0,24381.7465610573,16381.7465610573,1,0.417078291878888,0,0
1.6,1,0,0,23612.895803013,15612.895803013,1,0.437457897512315,0,0
1.62,1,0,0,22892.1951167303,14892.1951167303,1,0.457081693810613,0,0
1.64,1,0,0,22216.108480222,14216.108480222,1,0.475944171035625,0,0
1.66,1,0,0,17581.3164123991,13581.3164123991,1,0.495556176120597,0,0
1.68,1,0,0,16984.7936221766,12984.7936221766,1,0.51480357467679,0,0
1.7,1,0,0,16423.7818705123,12423.7818705123,1,0.533252572066053,0,0
1.72,1,0,0,15895.7652449634,11895.7652449634,1,0.550914386751553,0,0
1.74,1,0,0,15398.4476779197,11398.4476779197,1,0.56780632350679,0,0
1.76,1,0,0,14929.7325414031,10929.7325414031,1,0.583993189502118,0,0
1.78,1,0,0,14487.6334691115,10487.6334691115,1,0.59937010693376,0,0
1.8,1,0,0,14070.168281001,10070.168281001,1,0.613990556399965,0,0
1.82,1,0,0,13675.9261564783,9675.92615647832,1,0.627972493690261,0,0
1.84,1,0,0,13303.0892868671,9303.08928686706,1,0.641163905240024,0,0
1.86,1,0,0,12950.4085853018,8950.40858530183,1,0.653667620864053,0,0
1.88,1,0,0,12616.5671032254,8616.56710322542,1,0.665786702150737,0,0
1.9,1,0,0,12300.2627266705,8300.2627266705,1,0.677078139429633,0,0
1.92,1,0,0,12000.3398962277,8000.33989622766,1,0.687792595716114,0,0
1.94,1,0,0,11715.8275642001,7715.82756420012,1,0.697966009251381,0,0
1.96,1,0,0,11445.7493039504,7445.74930395041,1,0.707632224205786,0,0
1.98,1,0,0,11189.2087273293,7189.2087273293,1,0.716824260478664,0,0
2,1,0,0,10945.3373485497,6945.33734854971,1,0.725070675619238,0,0
2.02,1,0,0,10713.3248079599,6713.32480795989,1,0.733375694300772,0,0
2.04,1,0,0,10492.5377239752,6492.5377239752,1,0.741296486518663,0,0
2.06,1,0,0,10282.3376089781,6282.33760897805,1,0.748258410176856,0,0
2.08,1,0,0,10081.9600440021,6081.96004400212,1,0.755464166379413,0,0
2.1,1,0,0,9890.93496854583,5890.93496854583,1,0.761701935856319,0,0
2.12,1,0,0,9708.70318791129,5708.70318791129,1,0.768290281453623,0,0
2.14,1,0,0,9534.7392616283,5534.7392616283,1,0.773905206559101,0,0
2.16,1,0,0,9368.56800894619,5368.56800894619,1,0.779228067055114,0,0
2.18,1,0,0,9209.84617502462,5209.84617502462,1,0.785039480719157,0,0
2.2,1,0,0,9057.98056784575,5057.98056784575,1,0.789867632976023,0,0
2.22,1,0,0,8912.72215442132,4912.72215442132,1,0.794464061615222,0,0
2.24,1,0,0,8773.71314404601,4773.71314404601,1,0.798846570614033,0,0
2.26,1,0,0,8640.60161962347,4640.60161962347,1,0.803031534165834,0,8640.60161962347
2.28,1,0,0,8513.06196982217,4513.06196982217,1,0.807033834481385,0,8513.06196982217
2.3,1,0,0,8390.79275019422,4390.79275019423,1,0.810867605008331,0,8390.79275019422
2.32,1,0,0,8273.51284710988,4273.51284710988,1,0.814545187604847,0,8273.51284710988
2.34,1,0,0,8160.96911438489,4160.96911438489,1,0.818078356265779,0,8160.96911438489
2.36,1,0,4000,8052.91590956565,4052.91590956565,1,0.821477913903105,4052.91590956565,8052.91590956565
2.38,1,0,4000,7949.13244673293,3949.13244673293,1,0.824753438303516,3949.13244673293,7949.13244673293
2.4,1,0,4000,7849.41202312168,3849.41202312168,1,0.827002173420394,3849.41202312168,7849.41202312168
2.42,1,0,4000,7753.56266653777,3753.56266653777,1,0.830050514728863,3753.56266653777,7753.56266653777
2.44,1,0,4000,7661.40600725813,3661.40600725813,1,0.833000463767643,3661.40600725813,7661.40600725813
2.46,1,0,4000,7572.73329945229,3572.73329945229,1,0.834923192045532,3572.73329945229,7572.73329945229
2.48,1,0,4000,7487.32191067111,3487.32191067111,1,0.837694398131128,3487.32191067111,7487.32191067111
2.5,1,0,4000,7405.12485772152,3405.12485772152,1,0.840386666541331,3405.12485772152,7405.12485772152
2.52,1,0,4000,7325.94541077332,3325.94541077332,1,0.842055380585805,3325.94541077332,7325.94541077332
2.54,1,0,4000,7249.5868450382,3249.5868450382,1,0.844605651122284,3249.5868450382,7249.5868450382
2.56,1,0,4000,3176.05482066815,3176.05482066815,0,0.847531927949346,3176.05482066815,7176.05482066815
2.58,1,0,4000,3105.02046170651,3105.02046170651,0,0.850680983482986,3105.02046170651,7105.02046170651
2.6,1,0,4000,3036.58995168703,3036.58995168703,0,0.854957181266462,3036.58995168703,7036.58995168703
2.62,1,0,4000,2970.43398156446,2970.43398156446,0,0.85778057775442,2970.43398156446,6970.43398156446
2.64,1,0,4000,2906.62912232049,2906.62912232049,0,0.861712230064333,2906.62912232049,6906.62912232049
2.66,1,0,4000,2844.96454246864,2844.96454246864,0,0.86423813027974,2844.96454246864,6844.96454246864
2.68,1,0,4000,2785.36976906979,2785.36976906979,0,0.867856362728682,2785.36976906979,6785.36976906979
2.7,1,0,4000,2727.81181002711,2727.81181002711,0,0.871315969875365,2727.81181002711,6727.81181002711
2.72,1,0,4000,2672.11209557327,2672.11209557327,0,0.873442540952128,2672.11209557327,6672.11209557327
2.74,1,0,4000,2618.22317531285,2618.22317531285,0,0.876630488504974,2618.22317531285,6618.22317531285
2.76,1,0,4000,2566.10561947684,2566.10561947684,0,0.87968013190871,2566.10561947684,6566.10561947684
2.78,1,0,4000,2515.67714270954,2515.67714270954,0,0.882598229197446,2515.67714270954,6515.67714270954
2.8,1,0,4000,2466.83671772113,2466.83671772113,0,0.88426988121957,2466.83671772113,6466.83671772113
2.82,1,0,4000,2419.49773137615,2419.49773137615,0,0.886962298720859,2419.49773137615,6419.49773137615
2.84,1,0,4000,2373.64313749806,2373.64313749806,0,0.889540113362024,2373.64313749806,6373.64313749806
2.86,1,0,4000,2329.20899948123,2329.20899948123,0,0.892008053715609,2329.20899948123,6329.20899948123
2.88,1,0,4000,2286.13536506082,2286.13536506082,0,0.89437126835325,2286.13536506082,6286.13536506082
2.9,1,0,7999.99999999997,2244.36599963563,2244.36599963563,0,0.896634444862658,2244.36599963563,10244.3659996356
2.92,1,0,7999.99999999998,2203.84813947112,2203.84813947112,0,0.898802006474971,2203.84813947112,10203.8481394711
2.94,1,0,8000.00000000002,2164.53226329118,2164.53226329118,0,0.900878122560891,2164.53226329118,10164.5322632912
2.96,1,0,7999.99999999999,2126.37188088581,2126.37188088581,0,0.902866724052177,2126.37188088581,10126.3718808858
