"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1,1,0,0,46063.5793955246,42063.5793955246,1,0.514377419950078,0,0
1.02,1,0,0,41094.1421430176,37094.1421430176,1,0.559928345245149,0,0
1.04,1,0,0,36780.4287995869,32780.4287995869,1,0.602617662090878,0,0
1.06,1,0,0,33040.1142557624,29040.1142557624,1,0.642025693579573,0,0
1.08,1,0,0,29797.861149081,25797.861149081,1,0.67793026913857,0,0
1.1,1,0,0,26986.0866500232,22986.0866500232,1,0.710278929155067,0,0
1.12,1,0,0,24544.9918540801,20544.9918540801,1,0.739215169511325,0,0
1.14,1,0,0,22422.4687874178,18422.4687874178,1,0.764887155350028,0,0
1.16,1,0,0,20573.321963975,16573.321963975,1,0.787528773405764,0,0
1.18,1,0,0,18958.7256126875,14958.7256126875,1,0.807508732071571,0,18958.7256126875
1.2,1,0,8000,17545.4330398837,13545.4330398837,1,0.825018573840165,13545.4330398837,21545.4330398837
1.22,1,0,12000,16305.0588576353,12305.0588576353,1,0.840319307644707,12305.0588576353,24305.0588576353
1.24,1,0,12000,15213.4285181004,11213.4285181004,1,0.853798945802273,11213.4285181004,23213.4285181004
1.26,1,0,16000,14250.005942674,10250.005942674,1,0.865560242117734,10250.005942674,26250.005942674
1.28,1,0,16000,13397.2851013019,9397.28510130185,1,0.875963187457485,9397.28510130185,25397.2851013019
1.3,1,0,16000,12640.3653593198,8640.36535931978,1,0.885041163596459,8640.36535931978,24640.3653593198
1.32,1,0,16000,11966.5709465113,7966.5709465113,1,0.892948766327666,7966.5709465113,23966.5709465113
1.34,1,0,20000,11365.0587104862,7365.05871048618,1,0.899997835412166,7365.05871048618,27365.0587104862
1.36,1,0,20000,10826.5882804302,6826.58828043024,1,0.90613857175046,6826.58828043024,26826.5882804302
1.38,1,0,20000,6343.22588316228,6343.22588316228,0,0.911845566799901,6343.22588316228,26343.2258831623
1.4,1,4000,20000,5908.17404901574,5908.17404901574,0,0.918285643659362,9908.17404901574,25908.1740490157
1.42,1,4000,20000,5515.58346092519,5515.58346092519,0,0.924006496981283,9515.58346092519,25515.5834609252
1.44,1,4000,20000,5160.40884690892,5160.40884690892,0,0.929270550010859,9160.40884690892,25160.4088469089
1.46,1,4000,20000,4838.29238429667,4838.29238429667,0,0.933961816281906,8838.29238429667,24838.2923842967
1.48,1,4000,20000,4545.46849003617,4545.46849003617,0,0.938310990869876,8545.46849003617,24545.4684900362
1.5,1,4000,24000,4278.64033099894,4278.64033099894,0,0.942200104116911,8278.64033099894,28278.6403309989
1.52,1,4000,24000,4034.95332010971,4034.95332010971,0,0.945680738463104,8034.95332010971,28034.9533201097
1.54,1,4000,24000,3811.93515621038,3811.93515621038,0,0.948947456995014,7811.93515621038,27811.9351562104
1.56,1,4000,24000,3607.39036194203,3607.39036194203,0,0.951881752046223,7607.39036194203,27607.390361942
1.58,1,4000,24000,3419.42269073153,3419.42269073153,0,0.954519551388238,7419.42269073153,27419.4226907315
1.6,1,4000,24000,3246.32756370191,3246.32756370191,0,0.957027663992334,7246.32756370191,27246.3275637019
1.62,1,4000,24000,3086.64862086751,3086.64862086751,0,0.959290786128866,7086.64862086751,27086.6486208675
1.64,1,4000,24000,2939.05087274801,2939.05087274801,0,0.961461824136186,6939.05087274801,26939.050872748
1.66,1,4000,24000,2802.40425531482,2802.40425531482,0,0.963428160963361,6802.40425531482,26802.4042553148
1.68,1,4000,24000,2675.66670453403,2675.66670453403,0,0.965210714112156,6675.66670453403,26675.666704534
1.7,1,4000,24000,2557.93313968709,2557.93313968709,0,0.966827469994104,6557.93313968709,26557.9331396871
1.72,1,4000,24000.0000000001,2448.37847678085,2448.37847678085,0,0.968407992748954,6448.37847678085,26448.3784767809
1.74,1,4000,24000,2346.28716470749,2346.28716470749,0,0.969847519855211,6346.28716470749,26346.2871647075
1.76,1,4000,24000,2251.00544550188,2251.00544550188,0,0.971158826950593,6251.00544550188,26251.0054455019
1.78,1,4000,24000,2161.9582304184,2161.9582304184,0,0.972459368987531,6161.9582304184,26161.9582304184
1.8,1,4000,24000,2078.60249448692,2078.60249448692,0,0.973546767095992,6078.60249448692,26078.6024944869
1.82,1,4000,24000,2000.48507490061,2000.48507490061,0,0.974638747656054,6000.48507490061,26000.4850749006
1.84,1,4000,24000,1927.18072874364,1927.18072874364,0,0.975638371980098,5927.18072874364,25927.1807287436
1.86,1,4000,24000,1858.30338477217,1858.30338477217,0,0.976650026499777,5858.30338477217,25858.3033847722
1.88,1,4000,24000,1793.50052052833,1793.50052052833,0,0.97748690982713,5793.50052052833,25793.5005205283
1.9,1,4000,24000,1732.46715143067,1732.46715143067,0,0.978345482270784,5732.46715143067,25732.4671514307
1.92,1,4000,24000,1674.9170307036,1674.9170307036,0,0.979135652581007,5674.9170307036,25674.9170307036
1.94,1,4000,24000,1620.58923888568,1620.58923888568,0,0.979863145609033,5620.58923888568,25620.5892388857
1.96,1,4000,24000,1569.25306364014,1569.25306364014,0,0.980532828397123,5569.25306364014,25569.2530636401
