ArrayTaskID	n_tau	k
1	0	1000200
2	5000	1000200
3	10000	1000200
4	15000	1000200
5	20000	1000200
6	25000	1000200
7	30000	1000200
8	35000	1000200
9	40000	1000200
10	45000	1000200
11	50000	1000200
12	0	2000000
13	5000	2000000
14	10000	2000000
15	15000	2000000
16	20000	2000000
17	25000	2000000
18	30000	2000000
19	35000	2000000
20	40000	2000000
21	45000	2000000
22	50000	2000000
23	0	3000000
24	5000	3000000
25	10000	3000000
26	15000	3000000
27	20000	3000000
28	25000	3000000
29	30000	3000000
30	35000	3000000
31	40000	3000000
32	45000	3000000
33	50000	3000000
34	0	4000000
35	5000	4000000
36	10000	4000000
37	15000	4000000
38	20000	4000000
39	25000	4000000
40	30000	4000000
41	35000	4000000
42	40000	4000000
43	45000	4000000
44	50000	4000000
45	0	5000000
46	5000	5000000
47	10000	5000000
48	15000	5000000
49	20000	5000000
50	25000	5000000
51	30000	5000000
52	35000	5000000
53	40000	5000000
54	45000	5000000
55	50000	5000000
56	0	6000000
57	5000	6000000
58	10000	6000000
59	15000	6000000
60	20000	6000000
61	25000	6000000
62	30000	6000000
63	35000	6000000
64	40000	6000000
65	45000	6000000
66	50000	6000000
67	0	7000000
68	5000	7000000
69	10000	7000000
70	15000	7000000
71	20000	7000000
72	25000	7000000
73	30000	7000000
74	35000	7000000
75	40000	7000000
76	45000	7000000
77	50000	7000000
78	0	8000000
79	5000	8000000
80	10000	8000000
81	15000	8000000
82	20000	8000000
83	25000	8000000
84	30000	8000000
85	35000	8000000
86	40000	8000000
87	45000	8000000
88	50000	8000000
89	0	9000000
90	5000	9000000
91	10000	9000000
92	15000	9000000
93	20000	9000000
94	25000	9000000
95	30000	9000000
96	35000	9000000
97	40000	9000000
98	45000	9000000
99	50000	9000000
100	0	10000000
101	5000	10000000
102	10000	10000000
103	15000	10000000
104	20000	10000000
105	25000	10000000
106	30000	10000000
107	35000	10000000
108	40000	10000000
109	45000	10000000
110	50000	10000000
