ArrayTaskID	n_tau	w_lambda	cost
1	0	0.2	0.1
2	5000	0.2	0.1
3	10000	0.2	0.1
4	15000	0.2	0.1
5	20000	0.2	0.1
6	25000	0.2	0.1
7	30000	0.2	0.1
8	35000	0.2	0.1
9	40000	0.2	0.1
10	45000	0.2	0.1
11	50000	0.2	0.1
12	0	0.4	0.2
13	5000	0.4	0.2
14	10000	0.4	0.2
15	15000	0.4	0.2
16	20000	0.4	0.2
17	25000	0.4	0.2
18	30000	0.4	0.2
19	35000	0.4	0.2
20	40000	0.4	0.2
21	45000	0.4	0.2
22	50000	0.4	0.2
23	0	0.6	0.3
24	5000	0.6	0.3
25	10000	0.6	0.3
26	15000	0.6	0.3
27	20000	0.6	0.3
28	25000	0.6	0.3
29	30000	0.6	0.3
30	35000	0.6	0.3
31	40000	0.6	0.3
32	45000	0.6	0.3
33	50000	0.6	0.3
34	0	0.8	0.4
35	5000	0.8	0.4
36	10000	0.8	0.4
37	15000	0.8	0.4
38	20000	0.8	0.4
39	25000	0.8	0.4
40	30000	0.8	0.4
41	35000	0.8	0.4
42	40000	0.8	0.4
43	45000	0.8	0.4
44	50000	0.8	0.4
45	0	1	0.5
46	5000	1	0.5
47	10000	1	0.5
48	15000	1	0.5
49	20000	1	0.5
50	25000	1	0.5
51	30000	1	0.5
52	35000	1	0.5
53	40000	1	0.5
54	45000	1	0.5
55	50000	1	0.5
56	0	1.2	0.6
57	5000	1.2	0.6
58	10000	1.2	0.6
59	15000	1.2	0.6
60	20000	1.2	0.6
61	25000	1.2	0.6
62	30000	1.2	0.6
63	35000	1.2	0.6
64	40000	1.2	0.6
65	45000	1.2	0.6
66	50000	1.2	0.6
67	0	1.4	0.7
68	5000	1.4	0.7
69	10000	1.4	0.7
70	15000	1.4	0.7
71	20000	1.4	0.7
72	25000	1.4	0.7
73	30000	1.4	0.7
74	35000	1.4	0.7
75	40000	1.4	0.7
76	45000	1.4	0.7
77	50000	1.4	0.7
78	0	1.6	0.8
79	5000	1.6	0.8
80	10000	1.6	0.8
81	15000	1.6	0.8
82	20000	1.6	0.8
83	25000	1.6	0.8
84	30000	1.6	0.8
85	35000	1.6	0.8
86	40000	1.6	0.8
87	45000	1.6	0.8
88	50000	1.6	0.8
89	0	1.8	0.9
90	5000	1.8	0.9
91	10000	1.8	0.9
92	15000	1.8	0.9
93	20000	1.8	0.9
94	25000	1.8	0.9
95	30000	1.8	0.9
96	35000	1.8	0.9
97	40000	1.8	0.9
98	45000	1.8	0.9
99	50000	1.8	0.9
100	0	2	1
101	5000	2	1
102	10000	2	1
103	15000	2	1
104	20000	2	1
105	25000	2	1
106	30000	2	1
107	35000	2	1
108	40000	2	1
109	45000	2	1
110	50000	2	1
111	0	2.2	1.1
112	5000	2.2	1.1
113	10000	2.2	1.1
114	15000	2.2	1.1
115	20000	2.2	1.1
116	25000	2.2	1.1
117	30000	2.2	1.1
118	35000	2.2	1.1
119	40000	2.2	1.1
120	45000	2.2	1.1
121	50000	2.2	1.1
