ArrayTaskID	n_tau	w_mu
1	0	0
2	5000	0
3	10000	0
4	15000	0
5	20000	0
6	25000	0
7	30000	0
8	35000	0
9	40000	0
10	45000	0
11	50000	0
12	0	0.2
13	5000	0.2
14	10000	0.2
15	15000	0.2
16	20000	0.2
17	25000	0.2
18	30000	0.2
19	35000	0.2
20	40000	0.2
21	45000	0.2
22	50000	0.2
23	0	0.4
24	5000	0.4
25	10000	0.4
26	15000	0.4
27	20000	0.4
28	25000	0.4
29	30000	0.4
30	35000	0.4
31	40000	0.4
32	45000	0.4
33	50000	0.4
34	0	0.6
35	5000	0.6
36	10000	0.6
37	15000	0.6
38	20000	0.6
39	25000	0.6
40	30000	0.6
41	35000	0.6
42	40000	0.6
43	45000	0.6
44	50000	0.6
45	0	0.8
46	5000	0.8
47	10000	0.8
48	15000	0.8
49	20000	0.8
50	25000	0.8
51	30000	0.8
52	35000	0.8
53	40000	0.8
54	45000	0.8
55	50000	0.8
56	0	1
57	5000	1
58	10000	1
59	15000	1
60	20000	1
61	25000	1
62	30000	1
63	35000	1
64	40000	1
65	45000	1
66	50000	1
67	0	1.2
68	5000	1.2
69	10000	1.2
70	15000	1.2
71	20000	1.2
72	25000	1.2
73	30000	1.2
74	35000	1.2
75	40000	1.2
76	45000	1.2
77	50000	1.2
78	0	1.4
79	5000	1.4
80	10000	1.4
81	15000	1.4
82	20000	1.4
83	25000	1.4
84	30000	1.4
85	35000	1.4
86	40000	1.4
87	45000	1.4
88	50000	1.4
89	0	1.6
90	5000	1.6
91	10000	1.6
92	15000	1.6
93	20000	1.6
94	25000	1.6
95	30000	1.6
96	35000	1.6
97	40000	1.6
98	45000	1.6
99	50000	1.6
100	0	1.8
101	5000	1.8
102	10000	1.8
103	15000	1.8
104	20000	1.8
105	25000	1.8
106	30000	1.8
107	35000	1.8
108	40000	1.8
109	45000	1.8
110	50000	1.8
111	0	2
112	5000	2
113	10000	2
114	15000	2
115	20000	2
116	25000	2
117	30000	2
118	35000	2
119	40000	2
120	45000	2
121	50000	2
