ArrayTaskID	n_tau	therapy
1	0	1
2	5000	1
3	10000	1
4	15000	1
5	20000	1
6	25000	1
7	30000	1
8	35000	1
9	40000	1
10	45000	1
11	50000	1
12	0	1.2
13	5000	1.2
14	10000	1.2
15	15000	1.2
16	20000	1.2
17	25000	1.2
18	30000	1.2
19	35000	1.2
20	40000	1.2
21	45000	1.2
22	50000	1.2
23	0	1.4
24	5000	1.4
25	10000	1.4
26	15000	1.4
27	20000	1.4
28	25000	1.4
29	30000	1.4
30	35000	1.4
31	40000	1.4
32	45000	1.4
33	50000	1.4
34	0	1.6
35	5000	1.6
36	10000	1.6
37	15000	1.6
38	20000	1.6
39	25000	1.6
40	30000	1.6
41	35000	1.6
42	40000	1.6
43	45000	1.6
44	50000	1.6
45	0	1.8
46	5000	1.8
47	10000	1.8
48	15000	1.8
49	20000	1.8
50	25000	1.8
51	30000	1.8
52	35000	1.8
53	40000	1.8
54	45000	1.8
55	50000	1.8
56	0	2
57	5000	2
58	10000	2
59	15000	2
60	20000	2
61	25000	2
62	30000	2
63	35000	2
64	40000	2
65	45000	2
66	50000	2
67	0	2.2
68	5000	2.2
69	10000	2.2
70	15000	2.2
71	20000	2.2
72	25000	2.2
73	30000	2.2
74	35000	2.2
75	40000	2.2
76	45000	2.2
77	50000	2.2
78	0	2.4
79	5000	2.4
80	10000	2.4
81	15000	2.4
82	20000	2.4
83	25000	2.4
84	30000	2.4
85	35000	2.4
86	40000	2.4
87	45000	2.4
88	50000	2.4
89	0	2.6
90	5000	2.6
91	10000	2.6
92	15000	2.6
93	20000	2.6
94	25000	2.6
95	30000	2.6
96	35000	2.6
97	40000	2.6
98	45000	2.6
99	50000	2.6
100	0	2.8
101	5000	2.8
102	10000	2.8
103	15000	2.8
104	20000	2.8
105	25000	2.8
106	30000	2.8
107	35000	2.8
108	40000	2.8
109	45000	2.8
110	50000	2.8
111	0	3
112	5000	3
113	10000	3
114	15000	3
115	20000	3
116	25000	3
117	30000	3
118	35000	3
119	40000	3
120	45000	3
121	50000	3
