ArrayTaskID	n_tau	cost
1	0	0
2	5000	0
3	10000	0
4	15000	0
5	20000	0
6	25000	0
7	30000	0
8	35000	0
9	40000	0
10	45000	0
11	50000	0
12	0	0.1
13	5000	0.1
14	10000	0.1
15	15000	0.1
16	20000	0.1
17	25000	0.1
18	30000	0.1
19	35000	0.1
20	40000	0.1
21	45000	0.1
22	50000	0.1
23	0	0.2
24	5000	0.2
25	10000	0.2
26	15000	0.2
27	20000	0.2
28	25000	0.2
29	30000	0.2
30	35000	0.2
31	40000	0.2
32	45000	0.2
33	50000	0.2
34	0	0.3
35	5000	0.3
36	10000	0.3
37	15000	0.3
38	20000	0.3
39	25000	0.3
40	30000	0.3
41	35000	0.3
42	40000	0.3
43	45000	0.3
44	50000	0.3
45	0	0.4
46	5000	0.4
47	10000	0.4
48	15000	0.4
49	20000	0.4
50	25000	0.4
51	30000	0.4
52	35000	0.4
53	40000	0.4
54	45000	0.4
55	50000	0.4
56	0	0.5
57	5000	0.5
58	10000	0.5
59	15000	0.5
60	20000	0.5
61	25000	0.5
62	30000	0.5
63	35000	0.5
64	40000	0.5
65	45000	0.5
66	50000	0.5
67	0	0.6
68	5000	0.6
69	10000	0.6
70	15000	0.6
71	20000	0.6
72	25000	0.6
73	30000	0.6
74	35000	0.6
75	40000	0.6
76	45000	0.6
77	50000	0.6
78	0	0.7
79	5000	0.7
80	10000	0.7
81	15000	0.7
82	20000	0.7
83	25000	0.7
84	30000	0.7
85	35000	0.7
86	40000	0.7
87	45000	0.7
88	50000	0.7
89	0	0.8
90	5000	0.8
91	10000	0.8
92	15000	0.8
93	20000	0.8
94	25000	0.8
95	30000	0.8
96	35000	0.8
97	40000	0.8
98	45000	0.8
99	50000	0.8
100	0	0.9
101	5000	0.9
102	10000	0.9
103	15000	0.9
104	20000	0.9
105	25000	0.9
106	30000	0.9
107	35000	0.9
108	40000	0.9
109	45000	0.9
110	50000	0.9
111	0	1
112	5000	1
113	10000	1
114	15000	1
115	20000	1
116	25000	1
117	30000	1
118	35000	1
119	40000	1
120	45000	1
121	50000	1
